DSF,accuracy,
RF_5_t2,0.6986609936178201,
RF_5_pruned_with_sigma_0_0_t2,0.6576148166687523,
RF_5_pruned_with_sigma_0_1_t2,0.7512201226379677,
RF_5_pruned_with_sigma_0_2_t2,0.7637342009760981,
RF_5_pruned_with_sigma_0_3_t2,0.757477161807033,
RF_5_t3,0.5946690026279564,
RF_5_pruned_with_sigma_0_0_t3,0.5956701288950069,
RF_5_pruned_with_sigma_0_1_t3,0.7254411212614191,
RF_5_pruned_with_sigma_0_2_t3,0.7248154173445126,
RF_5_pruned_with_sigma_0_3_t3,0.6965336003003378,
RF_5_t4,0.6559879864847954,
RF_5_pruned_with_sigma_0_0_t4,0.6008009010136404,
RF_5_pruned_with_sigma_0_1_t4,0.7203103491427857,
RF_5_pruned_with_sigma_0_2_t4,0.7174321111250156,
RF_5_pruned_with_sigma_0_3_t4,0.6919033913152296,
RF_5_t5,0.7138030284069579,
RF_5_pruned_with_sigma_0_0_t5,0.6683769240395445,
RF_5_pruned_with_sigma_0_1_t5,0.7403328744837943,
RF_5_pruned_with_sigma_0_2_t5,0.7121761982230008,
RF_5_pruned_with_sigma_0_3_t5,0.7100488049055187,
RF_5_t6,0.7354523839319234,
RF_5_pruned_with_sigma_0_0_t6,0.7138030284069579,
RF_5_pruned_with_sigma_0_1_t6,0.7052934551370291,
RF_5_pruned_with_sigma_0_2_t6,0.7303216118132899,
RF_5_pruned_with_sigma_0_3_t6,0.7173069703416344,
RF_5_t7,0.720060067576023,
RF_5_pruned_with_sigma_0_0_t7,0.7085471155049431,
RF_5_pruned_with_sigma_0_1_t7,0.7403328744837943,
RF_5_pruned_with_sigma_0_2_t7,0.7337004129645852,
RF_5_pruned_with_sigma_0_3_t7,0.7070454261043674,
RF_5_t8,0.6972844450006257,
RF_5_pruned_with_sigma_0_0_t8,0.6750093855587536,
RF_5_pruned_with_sigma_0_1_t8,0.7120510574396196,
RF_5_pruned_with_sigma_0_2_t8,0.7342009760981104,
RF_5_pruned_with_sigma_0_3_t8,0.7120510574396196,
RF_5_t9,0.697409585784007,
RF_5_pruned_with_sigma_0_0_t9,0.7056688774871731,
RF_5_pruned_with_sigma_0_1_t9,0.6856463521461644,
RF_5_pruned_with_sigma_0_2_t9,0.7102990864722813,
RF_5_pruned_with_sigma_0_3_t9,0.7149292954573896,
RF_5_t10,0.6910274058315605,
RF_5_pruned_with_sigma_0_0_t10,0.6976598673507696,
RF_5_pruned_with_sigma_0_1_t10,0.6773870604429983,
RF_5_pruned_with_sigma_0_2_t10,0.7022900763358778,
RF_5_pruned_with_sigma_0_3_t10,0.6582405205856589,
RF_5_t11,0.6866474784132148,
RF_5_pruned_with_sigma_0_0_t11,0.6588662245025654,
RF_5_pruned_with_sigma_0_1_t11,0.6785133274934301,
RF_5_pruned_with_sigma_0_2_t11,0.6695031910899762,
RF_5_pruned_with_sigma_0_3_t11,0.6208234263546489,
RF_5_t12,0.6425979226629959,
RF_5_pruned_with_sigma_0_0_t12,0.6427230634463772,
RF_5_pruned_with_sigma_0_1_t12,0.5761481666875234,
RF_5_pruned_with_sigma_0_2_t12,0.6613690401701915,
RF_5_pruned_with_sigma_0_3_t12,0.6214491302715555,
RF_5_t13,0.5392316355900388,
RF_5_pruned_with_sigma_0_0_t13,0.5392316355900388,
RF_5_pruned_with_sigma_0_1_t13,0.6400951069953698,
RF_5_pruned_with_sigma_0_2_t13,0.6984107120510574,
RF_5_pruned_with_sigma_0_3_t13,0.647978976348392,
RF_5_t14,0.624953072206232,
RF_5_pruned_with_sigma_0_0_t14,0.6205731447878864,
RF_5_pruned_with_sigma_0_1_t14,0.6836440996120635,
RF_5_pruned_with_sigma_0_2_t14,0.6385934175947942,
RF_5_pruned_with_sigma_0_3_t14,0.6149418095357277,
RF_5_t15,0.6250782129896133,
RF_5_pruned_with_sigma_0_0_t15,0.6041797021649356,
RF_5_pruned_with_sigma_0_1_t15,0.6379677136778876,
RF_5_pruned_with_sigma_0_2_t15,0.6338380678263046,
RF_5_pruned_with_sigma_0_3_t15,0.6813915655112001,
RF_5_t16,0.7603553998248029,
RF_5_pruned_with_sigma_0_0_t16,0.5890376673757978,
RF_5_pruned_with_sigma_0_1_t16,0.617945188336879,
RF_5_pruned_with_sigma_0_2_t16,0.5816543611563009,
RF_5_pruned_with_sigma_0_3_t16,0.6247027906394694,
RF_5_t17,0.7603553998248029,
RF_5_pruned_with_sigma_0_0_t17,0.7603553998248029,
RF_5_pruned_with_sigma_0_1_t17,0.617945188336879,
RF_5_pruned_with_sigma_0_2_t17,0.6252033537729946,
RF_5_pruned_with_sigma_0_3_t17,0.7865098235514955,
RF_5_t18,0.7603553998248029,
RF_5_pruned_with_sigma_0_0_t18,0.7603553998248029,
RF_5_pruned_with_sigma_0_1_t18,0.5827806282067326,
RF_5_pruned_with_sigma_0_2_t18,0.5900387936428482,
RF_5_pruned_with_sigma_0_3_t18,0.7865098235514955,
RF_5_t19,0.7603553998248029,
RF_5_pruned_with_sigma_0_0_t19,0.7603553998248029,
