DSF,accuracy,
RF_5_t2,0.6283318733575273,
RF_5_pruned_with_sigma_0_0_t2,0.5781504192216244,
RF_5_pruned_with_sigma_0_1_t2,0.7219371793267426,
RF_5_pruned_with_sigma_0_2_t2,0.7430859717181829,
RF_5_pruned_with_sigma_0_3_t2,0.7362032286322112,
RF_5_t3,0.5492428982605431,
RF_5_pruned_with_sigma_0_0_t3,0.5563759229132774,
RF_5_pruned_with_sigma_0_1_t3,0.7022900763358778,
RF_5_pruned_with_sigma_0_2_t3,0.7001626830183957,
RF_5_pruned_with_sigma_0_3_t3,0.6174446252033537,
RF_5_t4,0.5770241521711926,
RF_5_pruned_with_sigma_0_0_t4,0.5567513452634214,
RF_5_pruned_with_sigma_0_1_t4,0.6855212113627831,
RF_5_pruned_with_sigma_0_2_t4,0.6847703666624954,
RF_5_pruned_with_sigma_0_3_t4,0.6390939807283194,
RF_5_t5,0.6787636090601927,
RF_5_pruned_with_sigma_0_0_t5,0.5925416093104743,
RF_5_pruned_with_sigma_0_1_t5,0.7019146539857339,
RF_5_pruned_with_sigma_0_2_t5,0.6792641721937179,
RF_5_pruned_with_sigma_0_3_t5,0.6748842447753723,
RF_5_t6,0.7201852083594044,
RF_5_pruned_with_sigma_0_0_t6,0.6800150168940058,
RF_5_pruned_with_sigma_0_1_t6,0.6698786134401201,
RF_5_pruned_with_sigma_0_2_t6,0.6894005756476036,
RF_5_pruned_with_sigma_0_3_t6,0.6740082592917032,
RF_5_t7,0.6999124014516331,
RF_5_pruned_with_sigma_0_0_t7,0.6768864973094731,
RF_5_pruned_with_sigma_0_1_t7,0.7011638092854461,
RF_5_pruned_with_sigma_0_2_t7,0.6896508572143661,
RF_5_pruned_with_sigma_0_3_t7,0.6577399574521337,
RF_5_t8,0.6609936178200475,
RF_5_pruned_with_sigma_0_0_t8,0.6254536353397572,
RF_5_pruned_with_sigma_0_1_t8,0.6782630459266675,
RF_5_pruned_with_sigma_0_2_t8,0.7000375422350144,
RF_5_pruned_with_sigma_0_3_t8,0.6519834814165937,
RF_5_t9,0.6577399574521337,
RF_5_pruned_with_sigma_0_0_t9,0.6649981228882493,
RF_5_pruned_with_sigma_0_1_t9,0.6325866599924915,
RF_5_pruned_with_sigma_0_2_t9,0.6576148166687523,
RF_5_pruned_with_sigma_0_3_t9,0.6522337629833562,
RF_5_t10,0.657865098235515,
RF_5_pruned_with_sigma_0_0_t10,0.6499812288824928,
RF_5_pruned_with_sigma_0_1_t10,0.6095607558503316,
RF_5_pruned_with_sigma_0_2_t10,0.6576148166687523,
RF_5_pruned_with_sigma_0_3_t10,0.5660117632336379,
RF_5_t11,0.6424727818796145,
RF_5_pruned_with_sigma_0_0_t11,0.5631335252158679,
RF_5_pruned_with_sigma_0_1_t11,0.6098110374170942,
RF_5_pruned_with_sigma_0_2_t11,0.5926667500938556,
RF_5_pruned_with_sigma_0_3_t11,0.5436115630083844,
RF_5_t12,0.5489926166937805,
RF_5_pruned_with_sigma_0_0_t12,0.5488674759103992,
RF_5_pruned_with_sigma_0_1_t12,0.5218370667000375,
RF_5_pruned_with_sigma_0_2_t12,0.5872856964084595,
RF_5_pruned_with_sigma_0_3_t12,0.5436115630083844,
RF_5_t13,0.5214616443498936,
RF_5_pruned_with_sigma_0_0_t13,0.5214616443498936,
RF_5_pruned_with_sigma_0_1_t13,0.5650106369665874,
RF_5_pruned_with_sigma_0_2_t13,0.6210737079214116,
RF_5_pruned_with_sigma_0_3_t13,0.5864097109247904,
RF_5_t14,0.5367288199224127,
RF_5_pruned_with_sigma_0_0_t14,0.5577524715304718,
RF_5_pruned_with_sigma_0_1_t14,0.603553998248029,
RF_5_pruned_with_sigma_0_2_t14,0.6059316731322738,
RF_5_pruned_with_sigma_0_3_t14,0.5690151420347891,
RF_5_t15,0.5367288199224127,
RF_5_pruned_with_sigma_0_0_t15,0.5591290201476661,
RF_5_pruned_with_sigma_0_1_t15,0.5436115630083844,
RF_5_pruned_with_sigma_0_2_t15,0.6338380678263046,
RF_5_pruned_with_sigma_0_3_t15,0.5467400825929171,
RF_5_t16,0.518708547115505,
RF_5_pruned_with_sigma_0_0_t16,0.5890376673757978,
RF_5_pruned_with_sigma_0_1_t16,0.518708547115505,
RF_5_pruned_with_sigma_0_2_t16,0.5816543611563009,
RF_5_pruned_with_sigma_0_3_t16,0.6247027906394694,
RF_5_t17,0.518708547115505,
RF_5_pruned_with_sigma_0_0_t17,0.518708547115505,
RF_5_pruned_with_sigma_0_1_t17,0.518708547115505,
RF_5_pruned_with_sigma_0_2_t17,0.518708547115505,
RF_5_pruned_with_sigma_0_3_t17,0.5901639344262295,
RF_5_t18,0.518708547115505,
RF_5_pruned_with_sigma_0_0_t18,0.518708547115505,
RF_5_pruned_with_sigma_0_1_t18,0.5827806282067326,
RF_5_pruned_with_sigma_0_2_t18,0.5900387936428482,
RF_5_pruned_with_sigma_0_3_t18,0.5901639344262295,
RF_5_t19,0.518708547115505,
RF_5_pruned_with_sigma_0_0_t19,0.518708547115505,
RF_5_pruned_with_sigma_0_1_t19,0.5827806282067326,
RF_5_pruned_with_sigma_0_2_t19,0.5900387936428482,
RF_5_pruned_with_sigma_0_3_t19,0.5901639344262295,
RF_5_t20,0.518708547115505,
RF_5_pruned_with_sigma_0_0_t20,0.518708547115505,
RF_5_pruned_with_sigma_0_1_t20,0.5827806282067326,
RF_5_pruned_with_sigma_0_2_t20,0.5900387936428482,
RF_5_pruned_with_sigma_0_3_t20,0.518708547115505,
RF_5_t21,0.518708547115505,
RF_5_pruned_with_sigma_0_0_t21,0.518708547115505,
RF_5_pruned_with_sigma_0_1_t21,0.5827806282067326,
RF_5_pruned_with_sigma_0_2_t21,0.518708547115505,
RF_5_pruned_with_sigma_0_3_t21,0.518708547115505,
RF_5_t22,0.518708547115505,
RF_5_pruned_with_sigma_0_0_t22,0.518708547115505,
