Feature ,Leaf id,Y = 0,Y = 1,Y = 2,Y = 3,Y = 4,Y = 5,Y = 6,Y = 7,Y = 8,Y = 9,Y = 10,Y = 11,Y = 12,Y = 13,Y = 14,Y = 15,Y = 16,Y = 17,Y = 18,Y = 19,Y = 20,Y = 21,Y = 22,Y = 23,Y = 24,Y = 25, Preferred Class, P(Y) = 0,P(Y) = 1,P(Y) = 2,P(Y) = 3,P(Y) = 4,P(Y) = 5,P(Y) = 6,P(Y) = 7,P(Y) = 8,P(Y) = 9,P(Y) = 10,P(Y) = 11,P(Y) = 12,P(Y) = 13,P(Y) = 14,P(Y) = 15,P(Y) = 16,P(Y) = 17,P(Y) = 18,P(Y) = 19,P(Y) = 20,P(Y) = 21,P(Y) = 22,P(Y) = 23,P(Y) = 24,P(Y) = 25,
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,2,654.0,588.0,653.0,651.0,640.0,300.0,638.0,487.0,722.0,674.0,459.0,689.0,406.0,494.0,639.0,370.0,635.0,521.0,618.0,129.0,619.0,248.0,259.0,545.0,458.0,600.0,8,0.048,0.043,0.048,0.048,0.047,0.022,0.047,0.036,0.053,0.049,0.034,0.05,0.03,0.036,0.047,0.027,0.046,0.038,0.045,0.009,0.045,0.018,0.019,0.04,0.033,0.044,
0,3,135.0,178.0,81.0,154.0,128.0,114.0,135.0,237.0,30.0,66.0,280.0,72.0,374.0,271.0,114.0,147.0,128.0,172.0,130.0,77.0,194.0,85.0,270.0,242.0,142.0,121.0,12,0.033,0.044,0.02,0.038,0.031,0.028,0.033,0.058,0.007,0.016,0.069,0.018,0.092,0.066,0.028,0.036,0.031,0.042,0.032,0.019,0.048,0.021,0.066,0.059,0.035,0.03,
0,4,0.0,0.0,2.0,0.0,0.0,361.0,0.0,10.0,3.0,7.0,0.0,0.0,12.0,18.0,0.0,286.0,20.0,65.0,0.0,590.0,0.0,431.0,223.0,0.0,186.0,13.0,19,0.0,0.0,0.001,0.0,0.0,0.162,0.0,0.004,0.001,0.003,0.0,0.0,0.005,0.008,0.0,0.128,0.009,0.029,0.0,0.265,0.0,0.194,0.1,0.0,0.084,0.006,
0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,2,679.0,172.0,32.0,88.0,263.0,269.0,13.0,239.0,501.0,413.0,397.0,394.0,256.0,247.0,3.0,131.0,14.0,185.0,207.0,104.0,2.0,38.0,201.0,572.0,438.0,401.0,0,0.108,0.027,0.005,0.014,0.042,0.043,0.002,0.038,0.08,0.066,0.063,0.063,0.041,0.039,0.0,0.021,0.002,0.03,0.033,0.017,0.0,0.006,0.032,0.091,0.07,0.064,
1,3,110.0,594.0,702.0,717.0,505.0,145.0,760.0,485.0,251.0,327.0,342.0,367.0,524.0,518.0,750.0,386.0,749.0,508.0,541.0,102.0,811.0,295.0,328.0,215.0,162.0,320.0,20,0.01,0.052,0.061,0.062,0.044,0.013,0.066,0.042,0.022,0.028,0.03,0.032,0.046,0.045,0.065,0.034,0.065,0.044,0.047,0.009,0.07,0.026,0.028,0.019,0.014,0.028,
1,4,0.0,0.0,2.0,0.0,0.0,361.0,0.0,10.0,3.0,7.0,0.0,0.0,12.0,18.0,0.0,286.0,20.0,65.0,0.0,590.0,0.0,431.0,223.0,0.0,186.0,13.0,19,0.0,0.0,0.001,0.0,0.0,0.162,0.0,0.004,0.001,0.003,0.0,0.0,0.005,0.008,0.0,0.128,0.009,0.029,0.0,0.265,0.0,0.194,0.1,0.0,0.084,0.006,
