Feature ,Leaf id,Y = 0,Y = 1, Preferred Class, P(Y) = 0,P(Y) = 1,
0,0,0.0,0.0,0,0,0,
0,1,2513.0,704.0,0,0.781,0.219,
0,2,275.0,1109.0,1,0.199,0.801,
1,0,0.0,0.0,0,0,0,
1,1,1417.0,945.0,0,0.6,0.4,
1,2,1371.0,868.0,0,0.612,0.388,
2,0,0.0,0.0,0,0,0,
2,1,2069.0,325.0,0,0.864,0.136,
2,2,719.0,1488.0,1,0.326,0.674,
3,0,0.0,0.0,0,0,0,
3,1,1363.0,159.0,0,0.896,0.104,
3,2,1425.0,1654.0,1,0.463,0.537,
4,0,0.0,0.0,0,0,0,
4,1,1443.0,207.0,0,0.875,0.125,
4,2,1345.0,1606.0,1,0.456,0.544,
5,0,0.0,0.0,0,0,0,
5,1,2583.0,745.0,0,0.776,0.224,
5,2,205.0,1068.0,1,0.161,0.839,
6,0,0.0,0.0,0,0,0,
6,1,2661.0,834.0,0,0.761,0.239,
6,2,127.0,979.0,1,0.115,0.885,
7,0,0.0,0.0,0,0,0,
7,1,2245.0,417.0,0,0.843,0.157,
7,2,543.0,1396.0,1,0.28,0.72,
8,0,0.0,0.0,0,0,0,
8,1,1259.0,647.0,0,0.661,0.339,
8,2,1529.0,1166.0,0,0.567,0.433,
9,0,0.0,0.0,0,0,0,
9,1,2327.0,512.0,0,0.82,0.18,
9,2,461.0,1301.0,1,0.262,0.738,
10,0,0.0,0.0,0,0,0,
10,1,1605.0,273.0,0,0.855,0.145,
10,2,1183.0,1540.0,1,0.434,0.566,
11,0,2788.0,1813.0,0,0.606,0.394,
11,1,0.0,0.0,0,0,0,
11,2,0.0,0.0,0,0,0,
12,0,0.0,0.0,0,0,0,
12,1,574.0,37.0,0,0.939,0.061,
12,2,2214.0,1776.0,0,0.555,0.445,
13,0,0.0,0.0,0,0,0,
13,1,769.0,63.0,0,0.924,0.076,
13,2,2019.0,1750.0,0,0.536,0.464,
14,0,0.0,0.0,0,0,0,
14,1,2418.0,611.0,0,0.798,0.202,
14,2,370.0,1202.0,1,0.235,0.765,
15,0,0.0,0.0,0,0,0,
15,1,2638.0,801.0,0,0.767,0.233,
15,2,150.0,1012.0,1,0.129,0.871,
16,0,0.0,0.0,0,0,0,
16,1,2584.0,1364.0,0,0.655,0.345,
16,2,204.0,449.0,1,0.312,0.688,
17,0,0.0,0.0,0,0,0,
17,1,2615.0,773.0,0,0.772,0.228,
17,2,173.0,1040.0,1,0.143,0.857,
18,0,0.0,0.0,0,0,0,
18,1,1271.0,677.0,0,0.652,0.348,
18,2,1517.0,1136.0,0,0.572,0.428,
