Feature ,Leaf id,Y = 0,Y = 1, Preferred Class, P(Y) = 0,P(Y) = 1,
0,0,0.0,0.0,0,0,0,
0,1,2748.0,1261.0,0,0.685,0.315,
0,2,40.0,552.0,1,0.068,0.932,
1,0,0.0,0.0,0,0,0,
1,1,2748.0,1090.0,0,0.716,0.284,
1,2,40.0,723.0,1,0.052,0.948,
2,0,0.0,0.0,0,0,0,
2,1,2157.0,368.0,0,0.854,0.146,
2,2,631.0,1445.0,1,0.304,0.696,
3,0,0.0,0.0,0,0,0,
3,1,2615.0,773.0,0,0.772,0.228,
3,2,173.0,1040.0,1,0.143,0.857,
4,0,0.0,0.0,0,0,0,
4,1,2734.0,1134.0,0,0.707,0.293,
4,2,54.0,679.0,1,0.074,0.926,
5,0,0.0,0.0,0,0,0,
5,1,2538.0,824.0,0,0.755,0.245,
5,2,250.0,989.0,1,0.202,0.798,
6,0,0.0,0.0,0,0,0,
6,1,2747.0,1070.0,0,0.72,0.28,
6,2,41.0,743.0,1,0.052,0.948,
7,0,0.0,0.0,0,0,0,
7,1,1844.0,1791.0,0,0.507,0.493,
7,2,944.0,22.0,0,0.977,0.023,
8,0,0.0,0.0,0,0,0,
8,1,2092.0,527.0,0,0.799,0.201,
8,2,696.0,1286.0,1,0.351,0.649,
9,0,0.0,0.0,0,0,0,
9,1,2295.0,806.0,0,0.74,0.26,
9,2,493.0,1007.0,1,0.329,0.671,
10,0,0.0,0.0,0,0,0,
10,1,2661.0,834.0,0,0.761,0.239,
10,2,127.0,979.0,1,0.115,0.885,
11,0,0.0,0.0,0,0,0,
11,1,2745.0,1049.0,0,0.724,0.276,
11,2,43.0,764.0,1,0.053,0.947,
12,0,0.0,0.0,0,0,0,
12,1,2418.0,611.0,0,0.798,0.202,
12,2,370.0,1202.0,1,0.235,0.765,
13,0,0.0,0.0,0,0,0,
13,1,2245.0,417.0,0,0.843,0.157,
13,2,543.0,1396.0,1,0.28,0.72,
14,0,0.0,0.0,0,0,0,
14,1,2688.0,903.0,0,0.749,0.251,
14,2,100.0,910.0,1,0.099,0.901,
15,0,0.0,0.0,0,0,0,
15,1,2078.0,1805.0,0,0.535,0.465,
15,2,710.0,8.0,0,0.989,0.011,
16,0,0.0,0.0,0,0,0,
16,1,2746.0,1253.0,0,0.687,0.313,
16,2,42.0,560.0,1,0.07,0.93,
17,0,0.0,0.0,0,0,0,
17,1,1748.0,1763.0,1,0.498,0.502,
17,2,1040.0,50.0,0,0.954,0.046,
18,0,2788.0,1813.0,0,0.606,0.394,
18,1,0.0,0.0,0,0,0,
18,2,0.0,0.0,0,0,0,
19,0,0.0,0.0,0,0,0,
19,1,2022.0,1805.0,0,0.528,0.472,
19,2,766.0,8.0,0,0.99,0.01,
20,0,0.0,0.0,0,0,0,
20,1,2676.0,883.0,0,0.752,0.248,
20,2,112.0,930.0,1,0.107,0.893,
