RF,comparisons Count,accuracy,
RF_5_t2,144.8,0.8402997869315234,
RF_5_t2_pruned_with_sigma_0_0,159.4,0.8417739129565476,
RF_5_t2_pruned_with_sigma_0_1,168.7,0.8327139710373244,
RF_5_t2_pruned_with_sigma_0_2,144.4,0.8198152221355814,
RF_5_t2_pruned_with_sigma_0_3,115.4,0.8199073738744398,
RF_5_t3,65.5,0.8426646187873732,
RF_5_t3_pruned_with_sigma_0_0,77.3,0.8381807119082569,
RF_5_t3_pruned_with_sigma_0_1,68.6,0.835293677434396,
RF_5_t3_pruned_with_sigma_0_2,61.3,0.8275545535276073,
RF_5_t3_pruned_with_sigma_0_3,47.0,0.8192316887676169,
RF_5_t4,49.0,0.8357544361286877,
RF_5_t4_pruned_with_sigma_0_0,59.0,0.8371365754599287,
RF_5_t4_pruned_with_sigma_0_1,49.6,0.8153006923216504,
RF_5_t4_pruned_with_sigma_0_2,40.9,0.8221185676275496,
RF_5_t4_pruned_with_sigma_0_3,33.6,0.8211052144435378,
RF_5_t5,39.0,0.8363379930745201,
RF_5_t5_pruned_with_sigma_0_0,45.0,0.8367372606893564,
RF_5_t5_pruned_with_sigma_0_1,41.8,0.7895642234714091,
RF_5_t5_pruned_with_sigma_0_2,32.2,0.801971812376004,
RF_5_t5_pruned_with_sigma_0_3,26.8,0.8139495484555365,
RF_5_t6,32.0,0.8169282018084413,
RF_5_t6_pruned_with_sigma_0_0,36.0,0.8348330837851796,
RF_5_t6_pruned_with_sigma_0_1,34.8,0.784588972687775,
RF_5_t6_pruned_with_sigma_0_2,29.8,0.76576270064294,
RF_5_t6_pruned_with_sigma_0_3,25.8,0.8051966846877026,
RF_5_t7,29.0,0.8214120709629691,
RF_5_t7_pruned_with_sigma_0_0,32.0,0.8325297241464906,
RF_5_t7_pruned_with_sigma_0_1,31.8,0.7804120260707087,
RF_5_t7_pruned_with_sigma_0_2,25.8,0.7275573970184748,
RF_5_t7_pruned_with_sigma_0_3,21.8,0.8011734327602591,
