 , RF_10, RF_10_pruned_with_sigma_0_0, RF_10_pruned_with_sigma_0_1, RF_10_pruned_with_sigma_0_2, RF_10_pruned_with_sigma_0_3
number of frequent subtrees (FS), 1087, 1249, 1444, 1571, 1648
ratio of FS compared to RF_10, 1, 1.15, 1.33, 1.45, 1.52
average frequency of all FS, 4.29, 4.31, 3.98, 3.75, 3.62
average size of all FS, 1.73, 1.73, 1.94, 1.98, 2.01
number of FS of size 1, 312, 353, 150, 121, 92
number of FS of size 2, 751, 871, 1226, 1367, 1445
number of FS of size 3, 23, 24, 66, 79, 106
number of FS of size 4, 0, 0, 1, 3, 4
number of FS of size 5, 0, 0, 0, 0, 0
number of FS of size 6, 0, 0, 0, 0, 0
