 , RF_15, RF_15_pruned_with_sigma_0_0, RF_15_pruned_with_sigma_0_1, RF_15_pruned_with_sigma_0_2, RF_15_pruned_with_sigma_0_3
number of frequent subtrees (FS), 6455, 6580, 6834, 7025, 7138
ratio of FS compared to RF_15, 1, 1.02, 1.06, 1.09, 1.11
average frequency of all FS, 4.23, 4.24, 4.15, 4.16, 4.23
average size of all FS, 2.0, 2.06, 2.08, 2.1, 2.14
number of FS of size 0, 1, 1, 1, 1, 1
number of FS of size 1, 776, 418, 322, 265, 221
number of FS of size 2, 4905, 5340, 5647, 5777, 5704
number of FS of size 3, 759, 806, 848, 961, 1185
number of FS of size 4, 13, 14, 15, 20, 26
number of FS of size 5, 1, 1, 1, 1, 1
number of FS of size 6, 0, 0, 0, 0, 0
