 , RF_10, RF_10_pruned_with_sigma_0_0, RF_10_pruned_with_sigma_0_1, RF_10_pruned_with_sigma_0_2, RF_10_pruned_with_sigma_0_3
number of frequent subtrees (FS), 2944, 4745, 1636, 1488, 1420
ratio of FS compared to RF_10, 1, 1.61, 0.56, 0.51, 0.48
average frequency of all FS, 2.5, 3.49, 7.72, 7.41, 7.19
average size of all FS, 1.0, 1.0, 1.28, 1.49, 1.61
number of FS of size 1, 2941, 4737, 1181, 753, 555
number of FS of size 2, 2, 7, 453, 731, 861
number of FS of size 3, 0, 0, 1, 3, 3
number of FS of size 4, 0, 0, 0, 0, 0
number of FS of size 5, 0, 0, 0, 0, 0
number of FS of size 6, 0, 0, 0, 0, 0
