 , RF_20, RF_20_pruned_with_sigma_0_0, RF_20_pruned_with_sigma_0_1, RF_20_pruned_with_sigma_0_2, RF_20_pruned_with_sigma_0_3
number of frequent subtrees (FS), 1504, 1289, 900, 806, 931
ratio of FS compared to RF_20, 1, 0.86, 0.6, 0.54, 0.62
average frequency of all FS, 5.03, 5.91, 7.59, 7.62, 6.29
average size of all FS, 1.02, 1.02, 1.16, 1.42, 1.64
number of FS of size 1, 1478, 1258, 768, 472, 352
number of FS of size 2, 24, 29, 125, 327, 565
number of FS of size 3, 1, 1, 3, 3, 10
number of FS of size 4, 0, 0, 2, 2, 2
number of FS of size 5, 0, 0, 1, 1, 1
number of FS of size 6, 0, 0, 0, 0, 0
