 , RF_20, RF_20_pruned_with_sigma_0_0, RF_20_pruned_with_sigma_0_1, RF_20_pruned_with_sigma_0_2, RF_20_pruned_with_sigma_0_3
number of frequent subtrees (FS), 1308, 1078, 944, 1197, 1329
ratio of FS compared to RF_20, 1, 0.82, 0.72, 0.92, 1.02
average frequency of all FS, 3.0, 4.6, 4.95, 4.14, 3.88
average size of all FS, 1.01, 1.15, 1.68, 1.86, 1.92
number of FS of size 1, 1298, 911, 310, 196, 149
number of FS of size 2, 9, 165, 619, 972, 1131
number of FS of size 3, 0, 1, 14, 28, 47
number of FS of size 4, 0, 0, 0, 0, 1
number of FS of size 5, 0, 0, 0, 0, 0
number of FS of size 6, 0, 0, 0, 0, 0
