RF,nodes Count,accuracy,
RF_5_t2,165,0.7748274674188894,
RF_5_t2_pruned_with_sigma_0_0,182,0.7630743933425814,
RF_5_t2_pruned_with_sigma_0_1,215,0.7396929519329063,
RF_5_t2_pruned_with_sigma_0_2,181,0.7808594770938593,
RF_5_t2_pruned_with_sigma_0_3,147,0.7699774944054981,
RF_5_t3,67,0.7637588402408226,
RF_5_t3_pruned_with_sigma_0_0,79,0.7561098571488223,
RF_5_t3_pruned_with_sigma_0_1,76,0.7517576092184399,
RF_5_t3_pruned_with_sigma_0_2,70,0.7763201400519936,
RF_5_t3_pruned_with_sigma_0_3,54,0.747093024154948,
RF_5_t4,50,0.7833469426260058,
RF_5_t4_pruned_with_sigma_0_0,60,0.7546797022039321,
RF_5_t4_pruned_with_sigma_0_1,51,0.8008212744174681,
RF_5_t4_pruned_with_sigma_0_2,44,0.7829117545625927,
RF_5_t4_pruned_with_sigma_0_3,36,0.7656866816059584,
RF_5_t5,40,0.7714694131147186,
RF_5_t5_pruned_with_sigma_0_0,46,0.7480880876933332,
RF_5_t5_pruned_with_sigma_0_1,43,0.8090915487839014,
RF_5_t5_pruned_with_sigma_0_2,34,0.7937321668004399,
RF_5_t5_pruned_with_sigma_0_3,28,0.7886955686287245,
RF_5_t6,33,0.7826002873416567,
RF_5_t6_pruned_with_sigma_0_0,37,0.7411232228660861,
RF_5_t6_pruned_with_sigma_0_1,36,0.7940425321326225,
RF_5_t6_pruned_with_sigma_0_2,31,0.7844037699287213,
RF_5_t6_pruned_with_sigma_0_3,27,0.7880736587500793,
RF_5_t7,30,0.7733346014719688,
RF_5_t7_pruned_with_sigma_0_0,33,0.7389464706309917,
RF_5_t7_pruned_with_sigma_0_1,33,0.7947885301499961,
RF_5_t7_pruned_with_sigma_0_2,27,0.7765059532922889,
RF_5_t7_pruned_with_sigma_0_3,23,0.7871407842664204,
RF_5_t8,23,0.7664944240562805,
RF_5_t8_pruned_with_sigma_0_0,25,0.7397547350286182,
RF_5_t8_pruned_with_sigma_0_1,25,0.7855852266488509,
RF_5_t8_pruned_with_sigma_0_2,21,0.778993496149962,
RF_5_t8_pruned_with_sigma_0_3,19,0.7689827401692192,
RF_5_t9,18,0.7649396976881213,
RF_5_t9_pruned_with_sigma_0_0,19,0.7512589175663491,
RF_5_t9_pruned_with_sigma_0_1,22,0.7819785321140644,
RF_5_t9_pruned_with_sigma_0_2,20,0.7783714896144085,
RF_5_t9_pruned_with_sigma_0_3,17,0.7801135370706306,
RF_5_t10,17,0.7662457644942833,
RF_5_t10_pruned_with_sigma_0_0,17,0.7480251447147228,
RF_5_t10_pruned_with_sigma_0_1,20,0.7811079433420403,
RF_5_t10_pruned_with_sigma_0_2,19,0.7756977275574257,
RF_5_t10_pruned_with_sigma_0_3,14,0.787886627632741,
RF_5_t11,15,0.7583480251833774,
RF_5_t11_pruned_with_sigma_0_0,16,0.7129526829637947,
RF_5_t11_pruned_with_sigma_0_1,17,0.768484493138906,
RF_5_t11_pruned_with_sigma_0_2,15,0.7713450736680292,
RF_5_t11_pruned_with_sigma_0_3,11,0.7564203191379132,
RF_5_t12,13,0.7388215319114716,
RF_5_t12_pruned_with_sigma_0_0,14,0.750823671508791,
RF_5_t12_pruned_with_sigma_0_1,14,0.7385728723494742,
RF_5_t12_pruned_with_sigma_0_2,12,0.7711583518527969,
RF_5_t12_pruned_with_sigma_0_3,10,0.7566690946882002,
RF_5_t13,10,0.7391324578537217,
RF_5_t13_pruned_with_sigma_0_0,10,0.7391324578537217,
RF_5_t13_pruned_with_sigma_0_1,11,0.7388838369544877,
RF_5_t13_pruned_with_sigma_0_2,11,0.7777501983399755,
RF_5_t13_pruned_with_sigma_0_3,9,0.757414648083796,
RF_5_t14,6,0.755984493138906,
RF_5_t14_pruned_with_sigma_0_0,7,0.690503748741527,
RF_5_t14_pruned_with_sigma_0_1,9,0.7204155241820118,
RF_5_t14_pruned_with_sigma_0_2,9,0.7638207973189693,
RF_5_t14_pruned_with_sigma_0_3,7,0.7014488677223147,
RF_5_t15,4,0.7533726301659252,
RF_5_t15_pruned_with_sigma_0_0,5,0.6797460861684737,
RF_5_t15_pruned_with_sigma_0_1,6,0.6828556355617004,
RF_5_t15_pruned_with_sigma_0_2,7,0.7451656467429715,
RF_5_t15_pruned_with_sigma_0_3,6,0.722718355688143,
RF_5_t16,2,0.7538702972547892,
RF_5_t16_pruned_with_sigma_0_0,3,0.6038803109104772,
RF_5_t16_pruned_with_sigma_0_1,4,0.6313039248890765,
RF_5_t16_pruned_with_sigma_0_2,5,0.7452900635151873,
RF_5_t16_pruned_with_sigma_0_3,5,0.7794286648819935,
RF_5_t17,2,0.7538702972547892,
RF_5_t17_pruned_with_sigma_0_0,2,0.7538702972547892,
RF_5_t17_pruned_with_sigma_0_1,4,0.6313039248890765,
RF_5_t17_pruned_with_sigma_0_2,4,0.6372737841720834,
RF_5_t17_pruned_with_sigma_0_3,4,0.7808587811641203,
RF_5_t18,2,0.7538702972547892,
RF_5_t18_pruned_with_sigma_0_0,2,0.7538702972547892,
RF_5_t18_pruned_with_sigma_0_1,3,0.5977239424574361,
RF_5_t18_pruned_with_sigma_0_2,3,0.603693801740443,
RF_5_t18_pruned_with_sigma_0_3,4,0.7808587811641203,
RF_5_t19,2,0.7538702972547892,
RF_5_t19_pruned_with_sigma_0_0,2,0.7538702972547892,
RF_5_t19_pruned_with_sigma_0_1,3,0.5977239424574361,
RF_5_t19_pruned_with_sigma_0_2,3,0.603693801740443,
RF_5_t19_pruned_with_sigma_0_3,4,0.7808587811641203,
RF_5_t20,2,0.7538702972547892,
RF_5_t20_pruned_with_sigma_0_0,2,0.7538702972547892,
RF_5_t20_pruned_with_sigma_0_1,3,0.5977239424574361,
RF_5_t20_pruned_with_sigma_0_2,3,0.603693801740443,
RF_5_t20_pruned_with_sigma_0_3,2,0.603693801740443,
RF_5_t21,2,0.7538702972547892,
RF_5_t21_pruned_with_sigma_0_0,2,0.7538702972547892,
RF_5_t21_pruned_with_sigma_0_1,3,0.5977239424574361,
RF_5_t21_pruned_with_sigma_0_2,2,0.603693801740443,
RF_5_t21_pruned_with_sigma_0_3,2,0.603693801740443,
RF_5_t22,2,0.7538702972547892,
RF_5_t22_pruned_with_sigma_0_0,2,0.7538702972547892,
RF_5_t22_pruned_with_sigma_0_1,2,0.5977239424574361,
RF_5_t22_pruned_with_sigma_0_2,2,0.603693801740443,
RF_5_t22_pruned_with_sigma_0_3,1,0.5124059528283358,
RF_5_t23,1,0.5124059528283358,
RF_5_t23_pruned_with_sigma_0_0,1,0.5124059528283358,
RF_5_t23_pruned_with_sigma_0_1,2,0.5977239424574361,
RF_5_t23_pruned_with_sigma_0_2,1,0.5124059528283358,
RF_5_t23_pruned_with_sigma_0_3,1,0.5124059528283358,
RF_5_t24,1,0.5124059528283358,
RF_5_t24_pruned_with_sigma_0_0,1,0.5124059528283358,
RF_5_t24_pruned_with_sigma_0_1,1,0.5124059528283358,
RF_5_t24_pruned_with_sigma_0_2,1,0.5124059528283358,
RF_5_t24_pruned_with_sigma_0_3,1,0.5124059528283358,
RF_5_t25,1,0.5124059528283358,
RF_5_t25_pruned_with_sigma_0_0,1,0.5124059528283358,
RF_5_t25_pruned_with_sigma_0_1,1,0.5124059528283358,
RF_5_t25_pruned_with_sigma_0_2,1,0.5124059528283358,
