RF,nodes Count,accuracy,
RF_5_t2,706,0.8332361689397618,
RF_5_t3,375,0.8287522809229395,
RF_5_t4,244,0.8289365561072148,
RF_5_t5,176,0.8291514730885989,
RF_5_t6,101,0.8298884936609487,
RF_5_t7,70,0.8313320627691887,
RF_5_t8,40,0.8192008960721534,
RF_5_t9,35,0.8025552797259383,
RF_5_t10,26,0.8108166298286059,
RF_5_t11,17,0.8207364660208972,
RF_5_t12,12,0.8165596325775967,
RF_5_t13,11,0.8157611869438217,
RF_5_t14,6,0.8371671229455661,
RF_5_t15,6,0.8371671229455661,
RF_5_t16,5,0.8371671229455661,
RF_5_t17,3,0.6790329848713083,
RF_5_t18,3,0.6790329848713083,
RF_5_t19,2,0.7102973980219488,
RF_5_t20,1,0.7591904454179904,
RF_5_t21,1,0.7591904454179904,
RF_5_t22,1,0.7591904454179904,
RF_5_t23,1,0.7591904454179904,
RF_5_t24,1,0.7591904454179904,
RF_5_t25,1,0.7591904454179904,
RF_10_t2,6492,0.767451946419012,
RF_10_t3,2231,0.794140168915618,
RF_10_t4,1315,0.768925963985844,
RF_10_t5,1044,0.741623273958603,
RF_10_t6,922,0.75823826265443,
RF_10_t7,836,0.787076447181237,
RF_10_t8,725,0.776450345387471,
RF_10_t9,638,0.753662402090546,
RF_10_t10,556,0.767175462908996,
RF_10_t11,503,0.765056430325891,
RF_10_t12,444,0.767758986845813,
RF_10_t13,416,0.760971758052597,
RF_10_t14,365,0.759896843055526,
RF_10_t15,334,0.762937237413285,
RF_10_t16,294,0.759497556578395,
RF_10_t17,275,0.768741839699923,
RF_10_t18,240,0.753017434230009,
RF_10_t19,197,0.767052443025497,
RF_10_t20,177,0.790086312915654,
RF_10_t21,144,0.777095308532434,
RF_10_t22,131,0.784005472328826,
RF_10_t23,88,0.765824187006822,
RF_10_t24,53,0.767636273474597,
RF_10_t25,36,0.753416824449758,
RF_15_t2,30869,0.7362179770113902,
RF_15_t3,10941,0.7268204000239928,
RF_15_t4,5447,0.7069499726685355,
RF_15_t5,3354,0.7737782939130244,
RF_15_t6,2436,0.7551363536393476,
RF_15_t7,1881,0.7725192357677388,
RF_15_t8,1563,0.7832989615175243,
RF_15_t9,1364,0.753508830005836,
RF_15_t10,1221,0.7634900582505373,
RF_15_t11,1126,0.74748924000421,
RF_15_t12,1049,0.7515123787578878,
RF_15_t13,980,0.7502225986507424,
RF_15_t14,923,0.7373543736567688,
RF_15_t15,850,0.7458307067588505,
RF_15_t16,790,0.7361566698393046,
RF_15_t17,748,0.7450323365742527,
RF_15_t18,689,0.7533245453904136,
RF_15_t19,636,0.7584841043673378,
RF_15_t20,566,0.7426369336548977,
RF_15_t21,483,0.7411320809524403,
RF_15_t22,421,0.7504375863657302,
RF_15_t23,363,0.7441108569102581,
RF_15_t24,281,0.7478883520051185,
RF_15_t25,194,0.7424217620325405,
RF_20_t2,68807,0.7280794440225578,
RF_20_t3,26325,0.7271581435503591,
RF_20_t4,14007,0.743865321709633,
RF_20_t5,8578,0.7305979045500004,
RF_20_t6,5661,0.6994566716123602,
RF_20_t7,4262,0.7286938078105741,
RF_20_t8,3264,0.7428825773137151,
RF_20_t9,2570,0.7447253291564669,
RF_20_t10,2136,0.7549830597734789,
RF_20_t11,1856,0.7459536228997307,
RF_20_t12,1659,0.7522495219351507,
RF_20_t13,1470,0.7529558629858032,
RF_20_t14,1327,0.7341603977831522,
RF_20_t15,1249,0.7325634593598666,
RF_20_t16,1150,0.7448173017035292,
RF_20_t17,1104,0.7339454100681645,
RF_20_t18,1013,0.7305671920192879,
RF_20_t19,941,0.7581770828028314,
RF_20_t20,891,0.7524340093202369,
RF_20_t21,826,0.7629679405128507,
RF_20_t22,761,0.7500691067307834,
RF_20_t23,694,0.7403642252444648,
RF_20_t24,569,0.688338815659175,
RF_20_t25,404,0.703633033498303,
RF_5,1431,0.8442617128245871,
RF_10,14705,0.858235466319299,
RF_15,50719,0.8627193779139887,
RF_20,99263,0.8643163965020252,
