RF,nodes Count,accuracy,
RF_5_t2,144,0.6315100802715665,
RF_5_t3,75,0.6268981678752629,
RF_5_t4,57,0.6775173356514049,
RF_5_t5,51,0.6510307663509323,
RF_5_t6,43,0.6347404164022479,
RF_5_t7,31,0.5644074695025846,
RF_5_t8,26,0.6052238428306975,
RF_5_t9,14,0.8647874041545908,
RF_5_t10,13,0.8609510441799703,
RF_5_t11,8,0.8699349741570457,
RF_5_t12,6,0.8697407286793233,
RF_5_t13,6,0.8697407286793233,
RF_5_t14,4,0.8964260058217643,
RF_5_t15,3,0.8874911412195925,
RF_5_t16,3,0.8874911412195925,
RF_5_t17,2,0.8873458284837543,
RF_5_t18,1,0.8873458284837543,
RF_5_t19,1,0.8873458284837543,
RF_5_t20,1,0.8873458284837543,
RF_5_t21,1,0.8873458284837543,
RF_5_t22,1,0.8873458284837543,
RF_5_t23,1,0.8873458284837543,
RF_5_t24,1,0.8873458284837543,
RF_5_t25,1,0.8873458284837543,
RF_10_t2,2938,0.8290988355616712,
RF_10_t3,1161,0.7780605209182461,
RF_10_t4,548,0.6656750285300992,
RF_10_t5,303,0.7057629164739435,
RF_10_t6,206,0.7119770121630079,
RF_10_t7,165,0.6397660288698461,
RF_10_t8,136,0.5971553783735615,
RF_10_t9,112,0.6814241414436244,
RF_10_t10,102,0.704707876806797,
RF_10_t11,95,0.7042466322192189,
RF_10_t12,90,0.6999009260820563,
RF_10_t13,82,0.6604253311028587,
RF_10_t14,75,0.6640428318587931,
RF_10_t15,70,0.6480923319163117,
RF_10_t16,62,0.6214110573436501,
RF_10_t17,58,0.601309335481163,
RF_10_t18,54,0.588783019248028,
RF_10_t19,53,0.5645282215506668,
RF_10_t20,53,0.5645282215506668,
RF_10_t21,52,0.6321255446390721,
RF_10_t22,50,0.7356943396029552,
RF_10_t23,47,0.7419845578028402,
RF_10_t24,39,0.7449224941267889,
RF_10_t25,30,0.865251378034964,
RF_15_t2,13440,0.5475786177063371,
RF_15_t3,6283,0.5486639625446712,
RF_15_t4,4212,0.7696118742274679,
RF_15_t5,3100,0.41392656428046015,
RF_15_t6,2400,0.5041221399199951,
RF_15_t7,1888,0.6192274315265089,
RF_15_t8,1472,0.5934190266428198,
RF_15_t9,1143,0.5933226997020739,
RF_15_t10,876,0.611340417881843,
RF_15_t11,679,0.6267577242449297,
RF_15_t12,534,0.6068489362669753,
RF_15_t13,400,0.6107092409226624,
RF_15_t14,293,0.4671161363895401,
RF_15_t15,237,0.5819264816353522,
RF_15_t16,195,0.5913221870312436,
RF_15_t17,158,0.5226893242769151,
RF_15_t18,136,0.5431344742897228,
RF_15_t19,127,0.5568543108516534,
RF_15_t20,118,0.6056038541151147,
RF_15_t21,108,0.5990509252729949,
RF_15_t22,97,0.6473164552805818,
RF_15_t23,93,0.6495743379040735,
RF_15_t24,80,0.6302742794836496,
RF_15_t25,58,0.5617399424307854,
RF_20_t2,32139,0.6101972214679334,
RF_20_t3,13068,0.5418020223470131,
RF_20_t4,8437,0.8164216065318872,
RF_20_t5,6206,0.6218966563009541,
RF_20_t6,4941,0.41562437598006596,
RF_20_t7,4113,0.49758752327672645,
RF_20_t8,3546,0.7252007923909204,
RF_20_t9,3070,0.7735190661291432,
RF_20_t10,2662,0.7100036568397095,
RF_20_t11,2303,0.6945883311297095,
RF_20_t12,1997,0.48936255480433194,
RF_20_t13,1735,0.47846182717074637,
RF_20_t14,1478,0.4304893601349886,
RF_20_t15,1251,0.4642611133869955,
RF_20_t16,1049,0.5031790100996508,
RF_20_t17,853,0.4934203293938085,
RF_20_t18,666,0.5802167359114186,
RF_20_t19,508,0.5939829468716631,
RF_20_t20,394,0.5950511319447127,
RF_20_t21,309,0.6986176279362629,
RF_20_t22,209,0.5816869522974736,
RF_20_t23,163,0.5233721662181755,
RF_20_t24,118,0.5284470326943046,
RF_20_t25,101,0.5716433375501792,
RF_5,1479,0.5009310690577983,
RF_10,18105,0.45756964788261856,
RF_15,73195,0.42404184212172985,
RF_20,151685,0.4139906997137456,
