RF,nodes Count,accuracy,
RF_5_t2,421,-0.6078079914072235,
RF_5_t3,109,-0.5889728516037485,
RF_5_t4,43,-0.5992624143530726,
RF_5_t5,23,-0.612889370662165,
RF_5_t6,11,-0.6089316237598398,
RF_5_t7,5,-0.6367348398061898,
RF_5_t8,3,-0.6550706766157568,
RF_5_t9,3,-0.6550706766157568,
RF_5_t10,2,-0.6808014355126003,
RF_5_t11,2,-0.6808014355126003,
RF_5_t12,2,-0.6808014355126003,
RF_5_t13,2,-0.6808014355126003,
RF_5_t14,2,-0.6808014355126003,
RF_5_t15,1,-0.7681560225343327,
RF_5_t16,1,-0.7681560225343327,
RF_5_t17,1,-0.7681560225343327,
RF_5_t18,1,-0.7681560225343327,
RF_5_t19,1,-0.7681560225343327,
RF_5_t20,1,-0.7681560225343327,
RF_5_t21,1,-0.7681560225343327,
RF_5_t22,1,-0.7681560225343327,
RF_5_t23,1,-0.7681560225343327,
RF_5_t24,1,-0.7681560225343327,
RF_5_t25,1,-0.7681560225343327,
RF_10_t2,6989,-1.2361608342346292e+21,
RF_10_t3,3764,-6.433039056059884e+20,
RF_10_t4,2206,-1.1802248458745491e+19,
RF_10_t5,1304,-0.6237001252190578,
RF_10_t6,803,-0.6142952792376108,
RF_10_t7,506,-0.6063980079420918,
RF_10_t8,304,-0.6097913080597034,
RF_10_t9,188,-0.6041078188135822,
RF_10_t10,122,-0.5966466496056968,
RF_10_t11,79,-0.6058073757738854,
RF_10_t12,55,-0.6254170915191717,
RF_10_t13,35,-0.6036911663752985,
RF_10_t14,21,-0.6070274704755668,
RF_10_t15,16,-0.6145845691832033,
RF_10_t16,8,-0.6354246737073431,
RF_10_t17,3,-0.7519120438571131,
RF_10_t18,2,-0.7812113076591163,
RF_10_t19,1,-0.7681560225343327,
RF_10_t20,1,-0.7681560225343327,
RF_10_t21,1,-0.7681560225343327,
RF_10_t22,1,-0.7681560225343327,
RF_10_t23,1,-0.7681560225343327,
RF_10_t24,1,-0.7681560225343327,
RF_10_t25,1,-0.7681560225343327,
RF_15_t2,13925,-4.366625762486694e+18,
RF_15_t3,9136,-0.5849835147039077,
RF_15_t4,6638,-3.9907116756414824e+19,
RF_15_t5,5032,-2.4095880263105402e+22,
RF_15_t6,3887,-3.4207499851894215e+19,
RF_15_t7,2975,-2.1516644509570635e+22,
RF_15_t8,2333,-1.0565024096452223e+20,
RF_15_t9,1813,-3.960226741516178e+19,
RF_15_t10,1396,-0.6342470266849356,
RF_15_t11,1037,-0.6322743449002008,
RF_15_t12,760,-0.6285554470052768,
RF_15_t13,559,-0.6261350083607244,
RF_15_t14,434,-0.6141289125189742,
RF_15_t15,316,-0.6106321970545222,
RF_15_t16,241,-0.6088485096371067,
RF_15_t17,169,-0.6024512887943022,
RF_15_t18,137,-0.6213177339465277,
RF_15_t19,96,-0.6264928628927494,
RF_15_t20,70,-0.6099878816128822,
RF_15_t21,41,-0.6185061578218274,
RF_15_t22,27,-0.6135367156854565,
RF_15_t23,12,-0.601975633769855,
RF_15_t24,6,-0.6961684231426617,
RF_15_t25,3,-0.7432881555415485,
RF_20_t2,15707,-3.013911440957144e+19,
RF_20_t3,10432,-1.606578078964174e+22,
RF_20_t4,7842,-0.6056118075095818,
RF_20_t5,6119,-2.7623614524154385e+22,
RF_20_t6,4961,-3.4839842459291853e+19,
RF_20_t7,4003,-0.6168864669976003,
RF_20_t8,3220,-1.581211810545479e+21,
RF_20_t9,2535,-0.6249688462069722,
RF_20_t10,2019,-0.6182236172905428,
RF_20_t11,1618,-0.603607890860906,
RF_20_t12,1248,-0.5944204978650619,
RF_20_t13,955,-0.6230306812580493,
RF_20_t14,734,-0.6126772559889894,
RF_20_t15,536,-0.6255937183305865,
RF_20_t16,400,-0.6181048265083183,
RF_20_t17,302,-0.6110770453014375,
RF_20_t18,224,-0.618192504194509,
RF_20_t19,166,-0.6252654567672649,
RF_20_t20,121,-0.6333069848226031,
RF_20_t21,86,-0.623459778059434,
RF_20_t22,52,-0.68265701543221,
RF_20_t23,23,-0.6770632094329915,
RF_20_t24,10,-0.6463443103198152,
RF_20_t25,3,-0.7637852374943163,
