RF,nodes Count,
RF_5_t2,196,
RF_5_t3,78,
RF_5_t4,56,
RF_5_t5,40,
RF_5_t6,36,
RF_5_t7,28,
RF_5_t8,26,
RF_5_t9,19,
RF_5_t10,19,
RF_5_t11,14,
RF_5_t12,12,
RF_5_t13,12,
RF_5_t14,9,
RF_5_t15,7,
RF_5_t16,5,
RF_5_t17,3,
RF_5_t18,2,
RF_5_t19,2,
RF_5_t20,2,
RF_5_t21,2,
RF_5_t22,1,
RF_5_t23,1,
RF_5_t24,1,
RF_5_t25,1,
RF_10_t2,1948,
RF_10_t3,685,
RF_10_t4,335,
RF_10_t5,226,
RF_10_t6,177,
RF_10_t7,156,
RF_10_t8,139,
RF_10_t9,121,
RF_10_t10,113,
RF_10_t11,104,
RF_10_t12,97,
RF_10_t13,86,
RF_10_t14,75,
RF_10_t15,69,
RF_10_t16,67,
RF_10_t17,62,
RF_10_t18,60,
RF_10_t19,55,
RF_10_t20,50,
RF_10_t21,47,
RF_10_t22,45,
RF_10_t23,37,
RF_10_t24,30,
RF_10_t25,20,
RF_15_t2,7788,
RF_15_t3,3257,
RF_15_t4,1779,
RF_15_t5,1115,
RF_15_t6,713,
RF_15_t7,497,
RF_15_t8,380,
RF_15_t9,294,
RF_15_t10,248,
RF_15_t11,211,
RF_15_t12,194,
RF_15_t13,180,
RF_15_t14,163,
RF_15_t15,160,
RF_15_t16,154,
RF_15_t17,144,
RF_15_t18,135,
RF_15_t19,125,
RF_15_t20,121,
RF_15_t21,116,
RF_15_t22,108,
RF_15_t23,98,
RF_15_t24,86,
RF_15_t25,65,
RF_20_t2,16680,
RF_20_t3,7346,
RF_20_t4,4232,
RF_20_t5,2765,
RF_20_t6,1869,
RF_20_t7,1310,
RF_20_t8,968,
RF_20_t9,741,
RF_20_t10,601,
RF_20_t11,494,
RF_20_t12,402,
RF_20_t13,330,
RF_20_t14,289,
RF_20_t15,264,
RF_20_t16,233,
RF_20_t17,210,
RF_20_t18,197,
RF_20_t19,187,
RF_20_t20,170,
RF_20_t21,157,
RF_20_t22,146,
RF_20_t23,138,
RF_20_t24,123,
RF_20_t25,112,
