RF,nodes Count,
RF_5_t2,706,
RF_5_t3,375,
RF_5_t4,244,
RF_5_t5,176,
RF_5_t6,101,
RF_5_t7,70,
RF_5_t8,40,
RF_5_t9,35,
RF_5_t10,26,
RF_5_t11,17,
RF_5_t12,12,
RF_5_t13,11,
RF_5_t14,6,
RF_5_t15,6,
RF_5_t16,5,
RF_5_t17,3,
RF_5_t18,3,
RF_5_t19,2,
RF_5_t20,1,
RF_5_t21,1,
RF_5_t22,1,
RF_5_t23,1,
RF_5_t24,1,
RF_5_t25,1,
RF_10_t2,6492,
RF_10_t3,2231,
RF_10_t4,1315,
RF_10_t5,1044,
RF_10_t6,922,
RF_10_t7,836,
RF_10_t8,725,
RF_10_t9,638,
RF_10_t10,556,
RF_10_t11,503,
RF_10_t12,444,
RF_10_t13,416,
RF_10_t14,365,
RF_10_t15,334,
RF_10_t16,294,
RF_10_t17,275,
RF_10_t18,240,
RF_10_t19,197,
RF_10_t20,177,
RF_10_t21,144,
RF_10_t22,131,
RF_10_t23,88,
RF_10_t24,53,
RF_10_t25,36,
RF_15_t2,30869,
RF_15_t3,10941,
RF_15_t4,5447,
RF_15_t5,3354,
RF_15_t6,2436,
RF_15_t7,1881,
RF_15_t8,1563,
RF_15_t9,1364,
RF_15_t10,1221,
RF_15_t11,1126,
RF_15_t12,1049,
RF_15_t13,980,
RF_15_t14,923,
RF_15_t15,850,
RF_15_t16,790,
RF_15_t17,748,
RF_15_t18,689,
RF_15_t19,636,
RF_15_t20,566,
RF_15_t21,483,
RF_15_t22,421,
RF_15_t23,363,
RF_15_t24,281,
RF_15_t25,194,
RF_20_t2,68807,
RF_20_t3,26325,
RF_20_t4,14007,
RF_20_t5,8578,
RF_20_t6,5661,
RF_20_t7,4262,
RF_20_t8,3264,
RF_20_t9,2570,
RF_20_t10,2136,
RF_20_t11,1856,
RF_20_t12,1659,
RF_20_t13,1470,
RF_20_t14,1327,
RF_20_t15,1249,
RF_20_t16,1150,
RF_20_t17,1104,
RF_20_t18,1013,
RF_20_t19,941,
RF_20_t20,891,
RF_20_t21,826,
RF_20_t22,761,
RF_20_t23,694,
RF_20_t24,569,
RF_20_t25,404,
