RF,nodes Count,
RF_5_t2,165,
RF_5_pruned_with_sigma_0_0_t2,190,
RF_5_pruned_with_sigma_0_1_t2,205,
RF_5_pruned_with_sigma_0_2_t2,179,
RF_5_pruned_with_sigma_0_3_t2,122,
RF_5_t3,76,
RF_5_pruned_with_sigma_0_0_t3,96,
RF_5_pruned_with_sigma_0_1_t3,76,
RF_5_pruned_with_sigma_0_2_t3,73,
RF_5_pruned_with_sigma_0_3_t3,42,
RF_5_t4,56,
RF_5_pruned_with_sigma_0_0_t4,66,
RF_5_pruned_with_sigma_0_1_t4,66,
RF_5_pruned_with_sigma_0_2_t4,56,
RF_5_pruned_with_sigma_0_3_t4,32,
RF_5_t5,45,
RF_5_pruned_with_sigma_0_0_t5,47,
RF_5_pruned_with_sigma_0_1_t5,56,
RF_5_pruned_with_sigma_0_2_t5,48,
RF_5_pruned_with_sigma_0_3_t5,26,
RF_5_t6,37,
RF_5_pruned_with_sigma_0_0_t6,40,
RF_5_pruned_with_sigma_0_1_t6,48,
RF_5_pruned_with_sigma_0_2_t6,42,
RF_5_pruned_with_sigma_0_3_t6,23,
RF_5_t7,29,
RF_5_pruned_with_sigma_0_0_t7,31,
RF_5_pruned_with_sigma_0_1_t7,42,
RF_5_pruned_with_sigma_0_2_t7,36,
RF_5_pruned_with_sigma_0_3_t7,18,
RF_5_t8,24,
RF_5_pruned_with_sigma_0_0_t8,26,
RF_5_pruned_with_sigma_0_1_t8,29,
RF_5_pruned_with_sigma_0_2_t8,29,
RF_5_pruned_with_sigma_0_3_t8,14,
RF_5_t9,20,
RF_5_pruned_with_sigma_0_0_t9,22,
RF_5_pruned_with_sigma_0_1_t9,24,
RF_5_pruned_with_sigma_0_2_t9,23,
RF_5_pruned_with_sigma_0_3_t9,12,
RF_5_t10,15,
RF_5_pruned_with_sigma_0_0_t10,16,
RF_5_pruned_with_sigma_0_1_t10,20,
RF_5_pruned_with_sigma_0_2_t10,20,
RF_5_pruned_with_sigma_0_3_t10,10,
RF_5_t11,10,
RF_5_pruned_with_sigma_0_0_t11,11,
RF_5_pruned_with_sigma_0_1_t11,15,
RF_5_pruned_with_sigma_0_2_t11,13,
RF_5_pruned_with_sigma_0_3_t11,9,
RF_5_t12,6,
RF_5_pruned_with_sigma_0_0_t12,7,
RF_5_pruned_with_sigma_0_1_t12,11,
RF_5_pruned_with_sigma_0_2_t12,10,
RF_5_pruned_with_sigma_0_3_t12,8,
RF_5_t13,6,
RF_5_pruned_with_sigma_0_0_t13,7,
RF_5_pruned_with_sigma_0_1_t13,9,
RF_5_pruned_with_sigma_0_2_t13,9,
RF_5_pruned_with_sigma_0_3_t13,7,
RF_5_t14,5,
RF_5_pruned_with_sigma_0_0_t14,6,
RF_5_pruned_with_sigma_0_1_t14,7,
RF_5_pruned_with_sigma_0_2_t14,8,
RF_5_pruned_with_sigma_0_3_t14,7,
RF_5_t15,3,
RF_5_pruned_with_sigma_0_0_t15,4,
RF_5_pruned_with_sigma_0_1_t15,4,
RF_5_pruned_with_sigma_0_2_t15,6,
RF_5_pruned_with_sigma_0_3_t15,4,
RF_5_t16,3,
RF_5_pruned_with_sigma_0_0_t16,3,
RF_5_pruned_with_sigma_0_1_t16,4,
RF_5_pruned_with_sigma_0_2_t16,5,
RF_5_pruned_with_sigma_0_3_t16,3,
RF_5_t17,3,
RF_5_pruned_with_sigma_0_0_t17,3,
RF_5_pruned_with_sigma_0_1_t17,4,
RF_5_pruned_with_sigma_0_2_t17,4,
