RF,nodes Count,
RF_5_t2,144,
RF_5_t3,75,
RF_5_t4,57,
RF_5_t5,51,
RF_5_t6,43,
RF_5_t7,31,
RF_5_t8,26,
RF_5_t9,14,
RF_5_t10,13,
RF_5_t11,8,
RF_5_t12,6,
RF_5_t13,6,
RF_5_t14,4,
RF_5_t15,3,
RF_5_t16,3,
RF_5_t17,2,
RF_5_t18,1,
RF_5_t19,1,
RF_5_t20,1,
RF_5_t21,1,
RF_5_t22,1,
RF_5_t23,1,
RF_5_t24,1,
RF_5_t25,1,
RF_10_t2,2938,
RF_10_t3,1161,
RF_10_t4,548,
RF_10_t5,303,
RF_10_t6,206,
RF_10_t7,165,
RF_10_t8,136,
RF_10_t9,112,
RF_10_t10,102,
RF_10_t11,95,
RF_10_t12,90,
RF_10_t13,82,
RF_10_t14,75,
RF_10_t15,70,
RF_10_t16,62,
RF_10_t17,58,
RF_10_t18,54,
RF_10_t19,53,
RF_10_t20,53,
RF_10_t21,52,
RF_10_t22,50,
RF_10_t23,47,
RF_10_t24,39,
RF_10_t25,30,
RF_15_t2,13440,
RF_15_t3,6283,
RF_15_t4,4212,
RF_15_t5,3100,
RF_15_t6,2400,
RF_15_t7,1888,
RF_15_t8,1472,
RF_15_t9,1143,
RF_15_t10,876,
RF_15_t11,679,
RF_15_t12,534,
RF_15_t13,400,
RF_15_t14,293,
RF_15_t15,237,
RF_15_t16,195,
RF_15_t17,158,
RF_15_t18,136,
RF_15_t19,127,
RF_15_t20,118,
RF_15_t21,108,
RF_15_t22,97,
RF_15_t23,93,
RF_15_t24,80,
RF_15_t25,58,
RF_20_t2,32139,
RF_20_t3,13068,
RF_20_t4,8437,
RF_20_t5,6206,
RF_20_t6,4941,
RF_20_t7,4113,
RF_20_t8,3546,
RF_20_t9,3070,
RF_20_t10,2662,
RF_20_t11,2303,
RF_20_t12,1997,
RF_20_t13,1735,
RF_20_t14,1478,
RF_20_t15,1251,
RF_20_t16,1049,
RF_20_t17,853,
RF_20_t18,666,
RF_20_t19,508,
RF_20_t20,394,
RF_20_t21,309,
RF_20_t22,209,
RF_20_t23,163,
RF_20_t24,118,
RF_20_t25,101,
