RF,nodes Count,
RF_5_t2,81,
RF_5_t3,21,
RF_5_t4,8,
RF_5_t5,6,
RF_5_t6,4,
RF_5_t7,1,
RF_5_t8,1,
RF_5_t9,1,
RF_5_t10,1,
RF_5_t11,1,
RF_5_t12,1,
RF_5_t13,1,
RF_5_t14,1,
RF_5_t15,1,
RF_5_t16,1,
RF_5_t17,1,
RF_5_t18,1,
RF_5_t19,1,
RF_5_t20,1,
RF_5_t21,1,
RF_5_t22,1,
RF_5_t23,1,
RF_5_t24,1,
RF_5_t25,1,
RF_10_t2,519,
RF_10_t3,175,
RF_10_t4,83,
RF_10_t5,42,
RF_10_t6,18,
RF_10_t7,13,
RF_10_t8,5,
RF_10_t9,3,
RF_10_t10,3,
RF_10_t11,2,
RF_10_t12,2,
RF_10_t13,1,
RF_10_t14,1,
RF_10_t15,1,
RF_10_t16,1,
RF_10_t17,1,
RF_10_t18,1,
RF_10_t19,1,
RF_10_t20,1,
RF_10_t21,1,
RF_10_t22,1,
RF_10_t23,1,
RF_10_t24,1,
RF_10_t25,1,
RF_15_t2,1029,
RF_15_t3,411,
RF_15_t4,194,
RF_15_t5,101,
RF_15_t6,60,
RF_15_t7,33,
RF_15_t8,19,
RF_15_t9,12,
RF_15_t10,8,
RF_15_t11,6,
RF_15_t12,4,
RF_15_t13,3,
RF_15_t14,2,
RF_15_t15,1,
RF_15_t16,1,
RF_15_t17,1,
RF_15_t18,1,
RF_15_t19,1,
RF_15_t20,1,
RF_15_t21,1,
RF_15_t22,1,
RF_15_t23,1,
RF_15_t24,1,
RF_15_t25,1,
RF_20_t2,1351,
RF_20_t3,582,
RF_20_t4,286,
RF_20_t5,158,
RF_20_t6,86,
RF_20_t7,56,
RF_20_t8,41,
RF_20_t9,26,
RF_20_t10,16,
RF_20_t11,11,
RF_20_t12,8,
RF_20_t13,4,
RF_20_t14,3,
RF_20_t15,2,
RF_20_t16,1,
RF_20_t17,1,
RF_20_t18,1,
RF_20_t19,1,
RF_20_t20,1,
RF_20_t21,1,
RF_20_t22,1,
RF_20_t23,1,
RF_20_t24,1,
RF_20_t25,1,
