RF,nodes Count,
RF_5_t2,421,
RF_5_t3,109,
RF_5_t4,43,
RF_5_t5,23,
RF_5_t6,11,
RF_5_t7,5,
RF_5_t8,3,
RF_5_t9,3,
RF_5_t10,2,
RF_5_t11,2,
RF_5_t12,2,
RF_5_t13,2,
RF_5_t14,2,
RF_5_t15,1,
RF_5_t16,1,
RF_5_t17,1,
RF_5_t18,1,
RF_5_t19,1,
RF_5_t20,1,
RF_5_t21,1,
RF_5_t22,1,
RF_5_t23,1,
RF_5_t24,1,
RF_5_t25,1,
RF_10_t2,6989,
RF_10_t3,3764,
RF_10_t4,2206,
RF_10_t5,1304,
RF_10_t6,803,
RF_10_t7,506,
RF_10_t8,304,
RF_10_t9,188,
RF_10_t10,122,
RF_10_t11,79,
RF_10_t12,55,
RF_10_t13,35,
RF_10_t14,21,
RF_10_t15,16,
RF_10_t16,8,
RF_10_t17,3,
RF_10_t18,2,
RF_10_t19,1,
RF_10_t20,1,
RF_10_t21,1,
RF_10_t22,1,
RF_10_t23,1,
RF_10_t24,1,
RF_10_t25,1,
RF_15_t2,13925,
RF_15_t3,9136,
RF_15_t4,6638,
RF_15_t5,5032,
RF_15_t6,3887,
RF_15_t7,2975,
RF_15_t8,2333,
RF_15_t9,1813,
RF_15_t10,1396,
RF_15_t11,1037,
RF_15_t12,760,
RF_15_t13,559,
RF_15_t14,434,
RF_15_t15,316,
RF_15_t16,241,
RF_15_t17,169,
RF_15_t18,137,
RF_15_t19,96,
RF_15_t20,70,
RF_15_t21,41,
RF_15_t22,27,
RF_15_t23,12,
RF_15_t24,6,
RF_15_t25,3,
RF_20_t2,15707,
RF_20_t3,10432,
RF_20_t4,7842,
RF_20_t5,6119,
RF_20_t6,4961,
RF_20_t7,4003,
RF_20_t8,3220,
RF_20_t9,2535,
RF_20_t10,2019,
RF_20_t11,1618,
RF_20_t12,1248,
RF_20_t13,955,
RF_20_t14,734,
RF_20_t15,536,
RF_20_t16,400,
RF_20_t17,302,
RF_20_t18,224,
RF_20_t19,166,
RF_20_t20,121,
RF_20_t21,86,
RF_20_t22,52,
RF_20_t23,23,
RF_20_t24,10,
RF_20_t25,3,
