Feature ,Leaf id,Y = 0,Y = 1, Preferred Class, P(Y) = 0,P(Y) = 1,
0,0,0.0,0.0,0,0,0,
0,1,23849.0,7779.0,0,0.754,0.246,
0,2,871.0,62.0,0,0.934,0.066,
0,3,0.0,0.0,0,0,0,
0,4,0.0,0.0,0,0,0,
0,5,0.0,0.0,0,0,0,
0,6,0.0,0.0,0,0,0,
1,0,0.0,0.0,0,0,0,
1,1,7025.0,738.0,0,0.905,0.095,
1,2,17695.0,7103.0,0,0.714,0.286,
1,3,0.0,0.0,0,0,0,
1,4,0.0,0.0,0,0,0,
1,5,0.0,0.0,0,0,0,
1,6,0.0,0.0,0,0,0,
2,0,0.0,0.0,0,0,0,
2,1,19024.0,3992.0,0,0.827,0.173,
2,2,5696.0,3849.0,0,0.597,0.403,
2,3,0.0,0.0,0,0,0,
2,4,0.0,0.0,0,0,0,
2,5,0.0,0.0,0,0,0,
2,6,0.0,0.0,0,0,0,
3,0,0.0,0.0,0,0,0,
3,1,24550.0,6315.0,0,0.795,0.205,
3,2,170.0,1526.0,1,0.1,0.9,
3,3,0.0,0.0,0,0,0,
3,4,0.0,0.0,0,0,0,
3,5,0.0,0.0,0,0,0,
3,6,0.0,0.0,0,0,0,
4,0,0.0,0.0,0,0,0,
4,1,24440.0,7128.0,0,0.774,0.226,
4,2,280.0,713.0,1,0.282,0.718,
4,3,0.0,0.0,0,0,0,
4,4,0.0,0.0,0,0,0,
4,5,0.0,0.0,0,0,0,
4,6,0.0,0.0,0,0,0,
5,0,0.0,0.0,0,0,0,
5,1,8521.0,377.0,0,0.958,0.042,
5,2,16199.0,7464.0,0,0.685,0.315,
5,3,0.0,0.0,0,0,0,
5,4,0.0,0.0,0,0,0,
5,5,0.0,0.0,0,0,0,
5,6,0.0,0.0,0,0,0,
6,0,0.0,0.0,0,0,0,
6,1,24233.0,7814.0,0,0.756,0.244,
6,2,487.0,27.0,0,0.947,0.053,
6,3,0.0,0.0,0,0,0,
6,4,0.0,0.0,0,0,0,
6,5,0.0,0.0,0,0,0,
6,6,0.0,0.0,0,0,0,
7,0,0.0,0.0,0,0,0,
7,1,6987.0,2878.0,0,0.708,0.292,
7,2,17733.0,4963.0,0,0.781,0.219,
7,3,0.0,0.0,0,0,0,
7,4,0.0,0.0,0,0,0,
7,5,0.0,0.0,0,0,0,
7,6,0.0,0.0,0,0,0,
8,0,0.0,0.0,0,0,0,
8,1,24095.0,7101.0,0,0.772,0.228,
8,2,625.0,740.0,1,0.458,0.542,
8,3,0.0,0.0,0,0,0,
8,4,0.0,0.0,0,0,0,
8,5,0.0,0.0,0,0,0,
8,6,0.0,0.0,0,0,0,
9,0,0.0,0.0,0,0,0,
9,1,11234.0,1054.0,0,0.914,0.086,
9,2,13486.0,6787.0,0,0.665,0.335,
9,3,0.0,0.0,0,0,0,
9,4,0.0,0.0,0,0,0,
9,5,0.0,0.0,0,0,0,
9,6,0.0,0.0,0,0,0,
10,0,0.0,0.0,0,0,0,
10,1,24707.0,7831.0,0,0.759,0.241,
10,2,13.0,10.0,0,0.565,0.435,
10,3,0.0,0.0,0,0,0,
10,4,0.0,0.0,0,0,0,
10,5,0.0,0.0,0,0,0,
10,6,0.0,0.0,0,0,0,
11,0,0.0,0.0,0,0,0,
11,1,103.0,41.0,0,0.715,0.285,
11,2,24617.0,7800.0,0,0.759,0.241,
11,3,0.0,0.0,0,0,0,
11,4,0.0,0.0,0,0,0,
11,5,0.0,0.0,0,0,0,
11,6,0.0,0.0,0,0,0,
12,0,0.0,0.0,0,0,0,
12,1,2408.0,2.0,0,0.999,0.001,
12,2,22312.0,7839.0,0,0.74,0.26,
12,3,0.0,0.0,0,0,0,
12,4,0.0,0.0,0,0,0,
12,5,0.0,0.0,0,0,0,
12,6,0.0,0.0,0,0,0,
13,0,0.0,0.0,0,0,0,
13,1,24131.0,7470.0,0,0.764,0.236,
13,2,589.0,371.0,0,0.614,0.386,
13,3,0.0,0.0,0,0,0,
13,4,0.0,0.0,0,0,0,
13,5,0.0,0.0,0,0,0,
13,6,0.0,0.0,0,0,0,
14,0,0.0,0.0,0,0,0,
14,1,23436.0,7755.0,0,0.751,0.249,
14,2,1284.0,86.0,0,0.937,0.063,
14,3,0.0,0.0,0,0,0,
