Feature ,Leaf id,Y = 0,Y = 1, Preferred Class, P(Y) = 0,P(Y) = 1,
0,0,0.0,0.0,0,0,0,
0,1,16683.0,4312.0,0,0.795,0.205,
0,2,113.0,1062.0,1,0.096,0.904,
0,3,0.0,0.0,0,0,0,
0,4,0.0,0.0,0,0,0,
1,0,0.0,0.0,0,0,0,
1,1,16604.0,4879.0,0,0.773,0.227,
1,2,192.0,495.0,1,0.279,0.721,
1,3,0.0,0.0,0,0,0,
1,4,0.0,0.0,0,0,0,
2,0,0.0,0.0,0,0,0,
2,1,5762.0,268.0,0,0.956,0.044,
2,2,11034.0,5106.0,0,0.684,0.316,
2,3,0.0,0.0,0,0,0,
2,4,0.0,0.0,0,0,0,
3,0,0.0,0.0,0,0,0,
3,1,4730.0,1969.0,0,0.706,0.294,
3,2,12066.0,3405.0,0,0.78,0.22,
3,3,0.0,0.0,0,0,0,
3,4,0.0,0.0,0,0,0,
4,0,0.0,0.0,0,0,0,
4,1,16789.0,5365.0,0,0.758,0.242,
4,2,7.0,9.0,1,0.438,0.562,
4,3,0.0,0.0,0,0,0,
4,4,0.0,0.0,0,0,0,
5,0,0.0,0.0,0,0,0,
5,1,15901.0,5317.0,0,0.749,0.251,
5,2,895.0,57.0,0,0.94,0.06,
5,3,0.0,0.0,0,0,0,
5,4,0.0,0.0,0,0,0,
6,0,0.0,0.0,0,0,0,
6,1,3537.0,272.0,0,0.929,0.071,
6,2,13259.0,5102.0,0,0.722,0.278,
6,3,0.0,0.0,0,0,0,
6,4,0.0,0.0,0,0,0,
7,0,0.0,0.0,0,0,0,
7,1,16150.0,5347.0,0,0.751,0.249,
7,2,646.0,27.0,0,0.96,0.04,
7,3,0.0,0.0,0,0,0,
7,4,0.0,0.0,0,0,0,
8,0,0.0,0.0,0,0,0,
8,1,16720.0,5161.0,0,0.764,0.236,
8,2,76.0,213.0,1,0.263,0.737,
8,3,0.0,0.0,0,0,0,
8,4,0.0,0.0,0,0,0,
9,0,0.0,0.0,0,0,0,
9,1,8042.0,850.0,0,0.904,0.096,
9,2,8754.0,4524.0,0,0.659,0.341,
9,3,0.0,0.0,0,0,0,
9,4,0.0,0.0,0,0,0,
10,0,0.0,0.0,0,0,0,
10,1,14101.0,5058.0,0,0.736,0.264,
10,2,2695.0,316.0,0,0.895,0.105,
