Feature ,Leaf id,Y = 0,Y = 1,Y = 2,Y = 3,Y = 4,Y = 5,Y = 6,Y = 7,Y = 8,Y = 9,Y = 10,Y = 11,Y = 12,Y = 13,Y = 14,Y = 15,Y = 16,Y = 17,Y = 18,Y = 19,Y = 20,Y = 21,Y = 22,Y = 23,Y = 24,Y = 25, Preferred Class, P(Y) = 0,P(Y) = 1,P(Y) = 2,P(Y) = 3,P(Y) = 4,P(Y) = 5,P(Y) = 6,P(Y) = 7,P(Y) = 8,P(Y) = 9,P(Y) = 10,P(Y) = 11,P(Y) = 12,P(Y) = 13,P(Y) = 14,P(Y) = 15,P(Y) = 16,P(Y) = 17,P(Y) = 18,P(Y) = 19,P(Y) = 20,P(Y) = 21,P(Y) = 22,P(Y) = 23,P(Y) = 24,P(Y) = 25,
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,1,399.0,380.0,353.0,375.0,385.0,386.0,377.0,388.0,362.0,345.0,341.0,386.0,390.0,374.0,352.0,362.0,275.0,372.0,338.0,408.0,397.0,353.0,354.0,377.0,347.0,328.0,19,0.042,0.04,0.037,0.039,0.041,0.041,0.04,0.041,0.038,0.036,0.036,0.041,0.041,0.039,0.037,0.038,0.029,0.039,0.036,0.043,0.042,0.037,0.037,0.04,0.037,0.035,
0,2,390.0,386.0,383.0,430.0,383.0,389.0,396.0,346.0,393.0,402.0,398.0,375.0,402.0,409.0,401.0,441.0,508.0,386.0,410.0,388.0,416.0,411.0,398.0,410.0,439.0,406.0,16,0.037,0.037,0.036,0.041,0.036,0.037,0.038,0.033,0.037,0.038,0.038,0.036,0.038,0.039,0.038,0.042,0.048,0.037,0.039,0.037,0.04,0.039,0.038,0.039,0.042,0.039,
0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,789.0,766.0,736.0,805.0,768.0,771.0,773.0,734.0,755.0,747.0,724.0,761.0,790.0,778.0,753.0,803.0,783.0,758.0,748.0,780.0,615.0,486.0,742.0,777.0,497.0,734.0,3,0.041,0.04,0.038,0.042,0.04,0.04,0.04,0.038,0.039,0.039,0.038,0.04,0.041,0.041,0.039,0.042,0.041,0.04,0.039,0.041,0.032,0.025,0.039,0.041,0.026,0.038,
1,2,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,15.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,16.0,198.0,278.0,10.0,10.0,289.0,0.0,24,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.018,0.0,0.002,0.006,0.0,0.0,0.0,0.0,0.0,0.019,0.239,0.336,0.012,0.012,0.349,0.0,
1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
