Feature ,Leaf id,Y = 0,Y = 1, Preferred Class, P(Y) = 0,P(Y) = 1,
0,0,0.0,0.0,0,0,0,
0,1,1991.0,1416.0,0,0.584,0.416,
0,2,797.0,397.0,0,0.668,0.332,
1,0,0.0,0.0,0,0,0,
1,1,2307.0,497.0,0,0.823,0.177,
1,2,481.0,1316.0,1,0.268,0.732,
2,0,0.0,0.0,0,0,0,
2,1,2399.0,1732.0,0,0.581,0.419,
2,2,389.0,81.0,0,0.828,0.172,
3,0,0.0,0.0,0,0,0,
3,1,1882.0,360.0,0,0.839,0.161,
3,2,906.0,1453.0,1,0.384,0.616,
4,0,0.0,0.0,0,0,0,
4,1,1334.0,782.0,0,0.63,0.37,
4,2,1454.0,1031.0,0,0.585,0.415,
5,0,0.0,0.0,0,0,0,
5,1,2550.0,724.0,0,0.779,0.221,
5,2,238.0,1089.0,1,0.179,0.821,
6,0,0.0,0.0,0,0,0,
6,1,1363.0,159.0,0,0.896,0.104,
6,2,1425.0,1654.0,1,0.463,0.537,
7,0,0.0,0.0,0,0,0,
7,1,2000.0,1444.0,0,0.581,0.419,
7,2,788.0,369.0,0,0.681,0.319,
8,0,0.0,0.0,0,0,0,
8,1,2100.0,564.0,0,0.788,0.212,
8,2,688.0,1249.0,1,0.355,0.645,
9,0,0.0,0.0,0,0,0,
9,1,2363.0,1788.0,0,0.569,0.431,
9,2,425.0,25.0,0,0.944,0.056,
10,0,0.0,0.0,0,0,0,
10,1,2060.0,1712.0,0,0.546,0.454,
10,2,728.0,101.0,0,0.878,0.122,
11,0,0.0,0.0,0,0,0,
11,1,1832.0,347.0,0,0.841,0.159,
11,2,956.0,1466.0,1,0.395,0.605,
12,0,0.0,0.0,0,0,0,
12,1,2542.0,1813.0,0,0.584,0.416,
12,2,246.0,0.0,0,1.0,0.0,
13,0,0.0,0.0,0,0,0,
13,1,2392.0,1788.0,0,0.572,0.428,
13,2,396.0,25.0,0,0.941,0.059,
14,0,0.0,0.0,0,0,0,
14,1,2342.0,1749.0,0,0.572,0.428,
14,2,446.0,64.0,0,0.875,0.125,
15,0,0.0,0.0,0,0,0,
15,1,2522.0,815.0,0,0.756,0.244,
15,2,266.0,998.0,1,0.21,0.79,
16,0,0.0,0.0,0,0,0,
16,1,2715.0,1812.0,0,0.6,0.4,
16,2,73.0,1.0,0,0.986,0.014,
17,0,0.0,0.0,0,0,0,
17,1,2542.0,1126.0,0,0.693,0.307,
17,2,246.0,687.0,1,0.264,0.736,
18,0,0.0,0.0,0,0,0,
18,1,2636.0,1507.0,0,0.636,0.364,
18,2,152.0,306.0,1,0.332,0.668,
19,0,0.0,0.0,0,0,0,
19,1,2357.0,1786.0,0,0.569,0.431,
19,2,431.0,27.0,0,0.941,0.059,
20,0,0.0,0.0,0,0,0,
20,1,2228.0,729.0,0,0.753,0.247,
20,2,560.0,1084.0,1,0.341,0.659,
21,0,0.0,0.0,0,0,0,
21,1,2137.0,776.0,0,0.734,0.266,
21,2,651.0,1037.0,1,0.386,0.614,
22,0,0.0,0.0,0,0,0,
22,1,331.0,18.0,0,0.948,0.052,
22,2,2457.0,1795.0,0,0.578,0.422,
23,0,0.0,0.0,0,0,0,
23,1,2609.0,1773.0,0,0.595,0.405,
23,2,179.0,40.0,0,0.817,0.183,
24,0,0.0,0.0,0,0,0,
24,1,2687.0,1283.0,0,0.677,0.323,
24,2,101.0,530.0,1,0.16,0.84,
25,0,0.0,0.0,0,0,0,
25,1,2311.0,834.0,0,0.735,0.265,
25,2,477.0,979.0,1,0.328,0.672,
26,0,0.0,0.0,0,0,0,
26,1,2615.0,1269.0,0,0.673,0.327,
26,2,173.0,544.0,1,0.241,0.759,
27,0,0.0,0.0,0,0,0,
27,1,2387.0,579.0,0,0.805,0.195,
27,2,401.0,1234.0,1,0.245,0.755,
28,0,0.0,0.0,0,0,0,
28,1,2709.0,989.0,0,0.733,0.267,
28,2,79.0,824.0,1,0.087,0.913,
29,0,0.0,0.0,0,0,0,
29,1,2513.0,704.0,0,0.781,0.219,
29,2,275.0,1109.0,1,0.199,0.801,
30,0,0.0,0.0,0,0,0,
30,1,1754.0,1775.0,1,0.497,0.503,
30,2,1034.0,38.0,0,0.965,0.035,
31,0,0.0,0.0,0,0,0,
31,1,2734.0,1134.0,0,0.707,0.293,
31,2,54.0,679.0,1,0.074,0.926,
32,0,0.0,0.0,0,0,0,
32,1,2782.0,1620.0,0,0.632,0.368,
32,2,6.0,193.0,1,0.03,0.97,
33,0,0.0,0.0,0,0,0,
33,1,2592.0,938.0,0,0.734,0.266,
33,2,196.0,875.0,1,0.183,0.817,
34,0,0.0,0.0,0,0,0,
34,1,1295.0,149.0,0,0.897,0.103,
34,2,1493.0,1664.0,1,0.473,0.527,
35,0,0.0,0.0,0,0,0,
35,1,994.0,85.0,0,0.921,0.079,
35,2,1794.0,1728.0,0,0.509,0.491,
36,0,0.0,0.0,0,0,0,
36,1,2412.0,981.0,0,0.711,0.289,
36,2,376.0,832.0,1,0.311,0.689,
37,0,0.0,0.0,0,0,0,
37,1,1609.0,675.0,0,0.704,0.296,
37,2,1179.0,1138.0,0,0.509,0.491,
38,0,0.0,0.0,0,0,0,
38,1,2191.0,388.0,0,0.85,0.15,
38,2,597.0,1425.0,1,0.295,0.705,
39,0,0.0,0.0,0,0,0,
39,1,332.0,19.0,0,0.946,0.054,
39,2,2456.0,1794.0,0,0.578,0.422,
40,0,0.0,0.0,0,0,0,
40,1,2643.0,1703.0,0,0.608,0.392,
40,2,145.0,110.0,0,0.569,0.431,
41,0,0.0,0.0,0,0,0,
41,1,2174.0,615.0,0,0.779,0.221,
41,2,614.0,1198.0,1,0.339,0.661,
42,0,0.0,0.0,0,0,0,
42,1,2604.0,1448.0,0,0.643,0.357,
42,2,184.0,365.0,1,0.335,0.665,
43,0,0.0,0.0,0,0,0,
43,1,1844.0,1395.0,0,0.569,0.431,
43,2,944.0,418.0,0,0.693,0.307,
44,0,0.0,0.0,0,0,0,
44,1,2748.0,1149.0,0,0.705,0.295,
44,2,40.0,664.0,1,0.057,0.943,
45,0,0.0,0.0,0,0,0,
45,1,1250.0,639.0,0,0.662,0.338,
45,2,1538.0,1174.0,0,0.567,0.433,
46,0,0.0,0.0,0,0,0,
46,1,1253.0,231.0,0,0.844,0.156,
46,2,1535.0,1582.0,1,0.492,0.508,
47,0,0.0,0.0,0,0,0,
47,1,2521.0,1242.0,0,0.67,0.33,
47,2,267.0,571.0,1,0.319,0.681,
48,0,0.0,0.0,0,0,0,
48,1,2117.0,1577.0,0,0.573,0.427,
48,2,671.0,236.0,0,0.74,0.26,
49,0,0.0,0.0,0,0,0,
49,1,2739.0,1579.0,0,0.634,0.366,
49,2,49.0,234.0,1,0.173,0.827,
50,0,0.0,0.0,0,0,0,
50,1,2467.0,1282.0,0,0.658,0.342,
50,2,321.0,531.0,1,0.377,0.623,
51,0,0.0,0.0,0,0,0,
51,1,2349.0,1784.0,0,0.568,0.432,
51,2,439.0,29.0,0,0.938,0.062,
52,0,0.0,0.0,0,0,0,
52,1,1210.0,224.0,0,0.844,0.156,
52,2,1578.0,1589.0,1,0.498,0.502,
53,0,0.0,0.0,0,0,0,
53,1,1093.0,108.0,0,0.91,0.09,
53,2,1695.0,1705.0,1,0.499,0.501,
54,0,0.0,0.0,0,0,0,
54,1,2353.0,1786.0,0,0.568,0.432,
54,2,435.0,27.0,0,0.942,0.058,
55,0,0.0,0.0,0,0,0,
55,1,2005.0,1791.0,0,0.528,0.472,
55,2,783.0,22.0,0,0.973,0.027,
56,0,0.0,0.0,0,0,0,
56,1,2446.0,649.0,0,0.79,0.21,
56,2,342.0,1164.0,1,0.227,0.773,
57,0,0.0,0.0,0,0,0,
57,1,1539.0,1147.0,0,0.573,0.427,
57,2,1249.0,666.0,0,0.652,0.348,
58,0,0.0,0.0,0,0,0,
58,1,1417.0,945.0,0,0.6,0.4,
58,2,1371.0,868.0,0,0.612,0.388,
59,0,0.0,0.0,0,0,0,
59,1,1370.0,868.0,0,0.612,0.388,
59,2,1418.0,945.0,0,0.6,0.4,
60,0,0.0,0.0,0,0,0,
60,1,2352.0,1646.0,0,0.588,0.412,
60,2,436.0,167.0,0,0.723,0.277,
61,0,0.0,0.0,0,0,0,
61,1,2688.0,903.0,0,0.749,0.251,
61,2,100.0,910.0,1,0.099,0.901,
62,0,0.0,0.0,0,0,0,
62,1,2069.0,325.0,0,0.864,0.136,
62,2,719.0,1488.0,1,0.326,0.674,
63,0,0.0,0.0,0,0,0,
63,1,2464.0,1709.0,0,0.59,0.41,
63,2,324.0,104.0,0,0.757,0.243,
64,0,0.0,0.0,0,0,0,
64,1,1647.0,689.0,0,0.705,0.295,
64,2,1141.0,1124.0,0,0.504,0.496,
65,0,0.0,0.0,0,0,0,
65,1,2016.0,1805.0,0,0.528,0.472,
65,2,772.0,8.0,0,0.99,0.01,
66,0,0.0,0.0,0,0,0,
66,1,2657.0,1259.0,0,0.678,0.322,
66,2,131.0,554.0,1,0.191,0.809,
67,0,0.0,0.0,0,0,0,
67,1,2748.0,1090.0,0,0.716,0.284,
67,2,40.0,723.0,1,0.052,0.948,
68,0,0.0,0.0,0,0,0,
68,1,2004.0,1791.0,0,0.528,0.472,
68,2,784.0,22.0,0,0.973,0.027,
69,0,0.0,0.0,0,0,0,
69,1,2314.0,1628.0,0,0.587,0.413,
69,2,474.0,185.0,0,0.719,0.281,
70,0,0.0,0.0,0,0,0,
70,1,2184.0,687.0,0,0.761,0.239,
70,2,604.0,1126.0,1,0.349,0.651,
71,0,0.0,0.0,0,0,0,
71,1,2754.0,1257.0,0,0.687,0.313,
71,2,34.0,556.0,1,0.058,0.942,
72,0,0.0,0.0,0,0,0,
72,1,1566.0,299.0,0,0.84,0.16,
72,2,1222.0,1514.0,1,0.447,0.553,
73,0,0.0,0.0,0,0,0,
73,1,1093.0,108.0,0,0.91,0.09,
73,2,1695.0,1705.0,1,0.499,0.501,
74,0,0.0,0.0,0,0,0,
74,1,2706.0,1387.0,0,0.661,0.339,
74,2,82.0,426.0,1,0.161,0.839,
75,0,0.0,0.0,0,0,0,
75,1,2695.0,928.0,0,0.744,0.256,
75,2,93.0,885.0,1,0.095,0.905,
76,0,0.0,0.0,0,0,0,
76,1,2700.0,947.0,0,0.74,0.26,
76,2,88.0,866.0,1,0.092,0.908,
77,0,0.0,0.0,0,0,0,
77,1,2319.0,661.0,0,0.778,0.222,
77,2,469.0,1152.0,1,0.289,0.711,
78,0,0.0,0.0,0,0,0,
78,1,2394.0,1132.0,0,0.679,0.321,
78,2,394.0,681.0,1,0.367,0.633,
79,0,0.0,0.0,0,0,0,
79,1,2394.0,1786.0,0,0.573,0.427,
79,2,394.0,27.0,0,0.936,0.064,
80,0,0.0,0.0,0,0,0,
80,1,2596.0,1357.0,0,0.657,0.343,
80,2,192.0,456.0,1,0.296,0.704,
81,0,0.0,0.0,0,0,0,
81,1,2538.0,824.0,0,0.755,0.245,
81,2,250.0,989.0,1,0.202,0.798,
82,0,0.0,0.0,0,0,0,
82,1,2414.0,1693.0,0,0.588,0.412,
82,2,374.0,120.0,0,0.757,0.243,
83,0,0.0,0.0,0,0,0,
83,1,2728.0,1092.0,0,0.714,0.286,
83,2,60.0,721.0,1,0.077,0.923,
84,0,0.0,0.0,0,0,0,
84,1,2354.0,1786.0,0,0.569,0.431,
84,2,434.0,27.0,0,0.941,0.059,
85,0,0.0,0.0,0,0,0,
85,1,2365.0,915.0,0,0.721,0.279,
85,2,423.0,898.0,1,0.32,0.68,
86,0,0.0,0.0,0,0,0,
86,1,2745.0,1049.0,0,0.724,0.276,
86,2,43.0,764.0,1,0.053,0.947,
