RF,comparisons Count,accuracy,
RF_5_t2,147.3,0.7335991181142132,
RF_5_t2_pruned_with_sigma_0_0,167.7,0.8155225197161193,
RF_5_t2_pruned_with_sigma_0_1,169.7,0.737484811677176,
RF_5_t2_pruned_with_sigma_0_2,149.1,0.6805706951234642,
RF_5_t2_pruned_with_sigma_0_3,99.7,0.6825853287897388,
RF_5_t3,75.0,0.7269707918217773,
RF_5_t3_pruned_with_sigma_0_0,94.2,0.7146606585677409,
RF_5_t3_pruned_with_sigma_0_1,74.3,0.6488608253139725,
RF_5_t3_pruned_with_sigma_0_2,68.9,0.5598525450935317,
RF_5_t3_pruned_with_sigma_0_3,38.9,0.4675048130312118,
RF_5_t4,55.0,0.7274321159891668,
RF_5_t4_pruned_with_sigma_0_0,64.3,0.7225278037861304,
RF_5_t4_pruned_with_sigma_0_1,64.3,0.6512400877818374,
RF_5_t4_pruned_with_sigma_0_2,54.3,0.5815790980736587,
RF_5_t4_pruned_with_sigma_0_3,30.3,0.44278427890802236,
RF_5_t5,44.0,0.7328708832589806,
RF_5_t5_pruned_with_sigma_0_0,46.0,0.7301269566207205,
RF_5_t5_pruned_with_sigma_0_1,55.0,0.6980042090646534,
RF_5_t5_pruned_with_sigma_0_2,47.0,0.6075829686588471,
RF_5_t5_pruned_with_sigma_0_3,25.0,0.593985502267833,
RF_5_t6,36.0,0.8095493180113312,
RF_5_t6_pruned_with_sigma_0_0,39.0,0.8120743854309053,
RF_5_t6_pruned_with_sigma_0_1,47.0,0.7775234780338941,
RF_5_t6_pruned_with_sigma_0_2,41.0,0.6696446375306113,
RF_5_t6_pruned_with_sigma_0_3,22.0,0.6795992024688132,
RF_5_t7,28.0,0.8373021819045352,
RF_5_t7_pruned_with_sigma_0_0,30.0,0.8491753777823128,
RF_5_t7_pruned_with_sigma_0_1,41.0,0.8179507149258687,
RF_5_t7_pruned_with_sigma_0_2,35.0,0.6173439512844225,
RF_5_t7_pruned_with_sigma_0_3,17.0,0.678312320284101,
RF_5_t8,23.0,0.8334903914598719,
RF_5_t8_pruned_with_sigma_0_0,25.0,0.8386133064577572,
RF_5_t8_pruned_with_sigma_0_1,28.0,0.7986969071129408,
RF_5_t8_pruned_with_sigma_0_2,28.0,0.8300669298636298,
RF_5_t8_pruned_with_sigma_0_3,13.0,0.823146604610919,
RF_5_t9,19.0,0.8286105367855763,
RF_5_t9_pruned_with_sigma_0_0,21.0,0.8339031778370343,
RF_5_t9_pruned_with_sigma_0_1,23.0,0.8193108783273904,
RF_5_t9_pruned_with_sigma_0_2,22.0,0.8206704522488268,
RF_5_t9_pruned_with_sigma_0_3,11.0,0.8395098850357622,
RF_5_t10,14.0,0.8215209275893569,
RF_5_t10_pruned_with_sigma_0_0,15.0,0.8260611945760876,
RF_5_t10_pruned_with_sigma_0_1,19.0,0.8093080379175992,
RF_5_t10_pruned_with_sigma_0_2,19.0,0.8050584936667586,
RF_5_t10_pruned_with_sigma_0_3,9.0,0.8484940478574712,
RF_5_t11,9.0,0.8361851200902093,
RF_5_t11_pruned_with_sigma_0_0,10.0,0.8349468523281353,
RF_5_t11_pruned_with_sigma_0_1,14.0,0.8706634241725091,
RF_5_t11_pruned_with_sigma_0_2,12.0,0.8428631808174456,
RF_5_t11_pruned_with_sigma_0_3,8.0,0.855146955469466,
RF_5_t12,5.0,0.8194321049069412,
RF_5_t12_pruned_with_sigma_0_0,6.0,0.8178054965068441,
RF_5_t12_pruned_with_sigma_0_1,10.0,0.8332464763901584,
RF_5_t12_pruned_with_sigma_0_2,9.0,0.839123955371288,
RF_5_t12_pruned_with_sigma_0_3,7.0,0.8833853917933702,
RF_5_t13,5.0,0.8194321049069412,
RF_5_t13_pruned_with_sigma_0_0,6.0,0.8178054965068441,
RF_5_t13_pruned_with_sigma_0_1,8.0,0.6979468467575486,
RF_5_t13_pruned_with_sigma_0_2,8.0,0.839123955371288,
RF_5_t13_pruned_with_sigma_0_3,6.0,0.8687213053989332,
RF_5_t14,4.0,0.8252354037141313,
RF_5_t14_pruned_with_sigma_0_0,5.0,0.8528910859204656,
RF_5_t14_pruned_with_sigma_0_1,6.0,0.7422870406664333,
