RF,comparisons Count,accuracy,
RF_5_t2,97.0,0.7806010812967363,
RF_5_t2_pruned_with_sigma_0_0,112.0,0.7562345395948539,
RF_5_t2_pruned_with_sigma_0_1,195.0,0.752917558137528,
RF_5_t2_pruned_with_sigma_0_2,176.0,0.7898015651870685,
RF_5_t2_pruned_with_sigma_0_3,167.0,0.7828848063273726,
RF_5_t3,27.0,0.6949340484060322,
RF_5_t3_pruned_with_sigma_0_0,30.0,0.7199005616220673,
RF_5_t3_pruned_with_sigma_0_1,118.0,0.796884497981949,
RF_5_t3_pruned_with_sigma_0_2,110.0,0.7945010907001425,
RF_5_t3_pruned_with_sigma_0_3,105.0,0.7903845625332957,
RF_5_t4,7.0,0.4838171075368763,
RF_5_t4_pruned_with_sigma_0_0,10.0,0.536766974014761,
RF_5_t4_pruned_with_sigma_0_1,75.0,0.7766179477058073,
RF_5_t4_pruned_with_sigma_0_2,71.0,0.7654011107264398,
RF_5_t4_pruned_with_sigma_0_3,70.0,0.7586181907228214,
RF_5_t5,2.0,0.26610023384989673,
RF_5_t5_pruned_with_sigma_0_0,3.0,0.2974834544359344,
RF_5_t5_pruned_with_sigma_0_1,45.0,0.736767793279503,
RF_5_t5_pruned_with_sigma_0_2,41.0,0.7263012174754051,
RF_5_t5_pruned_with_sigma_0_3,40.0,0.7140847622716839,
RF_5_t6,1.0,0.18463315556435037,
RF_5_t6_pruned_with_sigma_0_0,2.0,0.21866663593944585,
RF_5_t6_pruned_with_sigma_0_1,23.0,0.6920006398921744,
RF_5_t6_pruned_with_sigma_0_2,22.0,0.6695175313042157,
RF_5_t6_pruned_with_sigma_0_3,21.0,0.658767495692343,
RF_5_t7,0.0,0.09871666434732093,
RF_5_t7_pruned_with_sigma_0_0,0.0,0.09871666434732093,
RF_5_t7_pruned_with_sigma_0_1,9.0,0.5390674367026446,
RF_5_t7_pruned_with_sigma_0_2,9.0,0.5231672144759848,
RF_5_t7_pruned_with_sigma_0_3,8.0,0.47571706368128347,
RF_5_t8,0.0,0.09871666434732093,
RF_5_t8_pruned_with_sigma_0_0,0.0,0.09871666434732093,
RF_5_t8_pruned_with_sigma_0_1,5.0,0.39393235059415527,
RF_5_t8_pruned_with_sigma_0_2,4.0,0.38524987348722844,
RF_5_t8_pruned_with_sigma_0_3,4.0,0.3822834913637872,
RF_5_t9,0.0,0.09871666434732093,
RF_5_t9_pruned_with_sigma_0_0,0.0,0.09871666434732093,
RF_5_t9_pruned_with_sigma_0_1,2.0,0.3209670810803111,
RF_5_t9_pruned_with_sigma_0_2,2.0,0.31801695584281664,
RF_5_t9_pruned_with_sigma_0_3,1.0,0.19394999513701738,
RF_5_t10,0.0,0.09871666434732093,
RF_5_t10_pruned_with_sigma_0_0,0.0,0.09871666434732093,
RF_5_t10_pruned_with_sigma_0_1,1.0,0.1977834898275312,
RF_5_t10_pruned_with_sigma_0_2,1.0,0.19589997999059644,
RF_5_t10_pruned_with_sigma_0_3,1.0,0.19394999513701738,
RF_5_t11,0.0,0.09871666434732093,
RF_5_t11_pruned_with_sigma_0_0,0.0,0.09871666434732093,
RF_5_t11_pruned_with_sigma_0_1,0.0,0.09871666434732093,
RF_5_t11_pruned_with_sigma_0_2,0.0,0.09871666434732093,
RF_5_t11_pruned_with_sigma_0_3,0.0,0.09871666434732093,
RF_5_t12,0.0,0.09871666434732093,
RF_5_t12_pruned_with_sigma_0_0,0.0,0.09871666434732093,
RF_5_t12_pruned_with_sigma_0_1,0.0,0.09871666434732093,
RF_5_t12_pruned_with_sigma_0_2,0.0,0.09871666434732093,
RF_5_t12_pruned_with_sigma_0_3,0.0,0.09871666434732093,
RF_5_t13,0.0,0.09871666434732093,
RF_5_t13_pruned_with_sigma_0_0,0.0,0.09871666434732093,
RF_5_t13_pruned_with_sigma_0_1,0.0,0.09871666434732093,
RF_5_t13_pruned_with_sigma_0_2,0.0,0.09871666434732093,
RF_5_t13_pruned_with_sigma_0_3,0.0,0.09871666434732093,
RF_5_t14,0.0,0.09871666434732093,
RF_5_t14_pruned_with_sigma_0_0,0.0,0.09871666434732093,
RF_5_t14_pruned_with_sigma_0_1,0.0,0.09871666434732093,
RF_5_t14_pruned_with_sigma_0_2,0.0,0.09871666434732093,
RF_5_t14_pruned_with_sigma_0_3,0.0,0.09871666434732093,
RF_5_t15,0.0,0.09871666434732093,
RF_5_t15_pruned_with_sigma_0_0,0.0,0.09871666434732093,
