Naive Bayes,
RF,accuracy,
RF_5_pruned_with_sigma_0_2_t14,0.89106035,
RF_10_pruned_with_sigma_0_1_t25,0.87471986,
RF_15_pruned_with_sigma_0_3_t12,0.88732153,
RF_20_pruned_with_sigma_0_3_t21,0.84461486,

Best DSF,0.89106035,


Log Reg,
RF,accuracy,
RF_5_pruned_with_sigma_0_1_t2,0.90507406,
RF_10_pruned_with_sigma_0_3_t13,0.9067735,
RF_15_pruned_with_sigma_0_2_t19,0.9075018,
RF_20_pruned_with_sigma_0_3_t25,0.9053168,

Best DSF,0.9075018,


Linear SVM,
RF,accuracy,
RF_5_pruned_with_sigma_0_1_t2,0.90604514,
RF_10_pruned_with_sigma_0_1_t9,0.9053168,
RF_15_pruned_with_sigma_0_0_t21,0.90580237,
RF_20_pruned_with_sigma_0_2_t23,0.9041029,

Best DSF,0.90604514,


