Naive Bayes,
RF,accuracy,
RF_5_pruned_with_sigma_0_1_t3,0.7961142,
RF_10_pruned_with_sigma_0_2_t3,0.7938406,
RF_15_pruned_with_sigma_0_1_t12,0.7861992,
RF_20_pruned_with_sigma_0_3_t14,0.77042884,

Best DSF,0.7961142,


Log Reg,
RF,accuracy,
RF_5_pruned_with_sigma_0_2_t4,0.8725,
RF_10_pruned_with_sigma_0_2_t10,0.873,
RF_15_pruned_with_sigma_0_1_t2,0.877,
RF_20_pruned_with_sigma_0_2_t16,0.879,

Best DSF,0.879,


Linear SVM,
RF,accuracy,
RF_5_pruned_with_sigma_0_2_t3,0.871,
RF_10_pruned_with_sigma_0_2_t13,0.8725,
RF_15_pruned_with_sigma_0_1_t2,0.8765,
RF_20_pruned_with_sigma_0_2_t16,0.876,

Best DSF,0.8765,


