 , RF_10, RF_10_pruned_with_sigma_0_0, RF_10_pruned_with_sigma_0_1, RF_10_pruned_with_sigma_0_2, RF_10_pruned_with_sigma_0_3
number of frequent subtrees (FS), 1659, 1652, 1702, 1867, 1920
ratio of FS compared to RF_10, 1, 1.0, 1.03, 1.13, 1.16
average frequency of all FS, 3.82, 4.0, 3.87, 3.68, 3.57
average size of all FS, 1.73, 1.8, 1.88, 1.93, 1.96
number of FS of size 0, 1, 1, 1, 1, 1
number of FS of size 1, 466, 361, 230, 177, 136
number of FS of size 2, 1168, 1265, 1440, 1640, 1719
number of FS of size 3, 24, 25, 31, 49, 63
number of FS of size 4, 0, 0, 0, 0, 1
number of FS of size 5, 0, 0, 0, 0, 0
number of FS of size 6, 0, 0, 0, 0, 0
