RF,nodes Count,accuracy,
RF_5_t2,165,0.8402997869315234,
RF_5_t2_pruned_with_sigma_0_0,182,0.8417739129565476,
RF_5_t2_pruned_with_sigma_0_1,215,0.8327139710373244,
RF_5_t2_pruned_with_sigma_0_2,181,0.8198152221355814,
RF_5_t2_pruned_with_sigma_0_3,147,0.8199073738744398,
RF_5_t3,67,0.8426646187873732,
RF_5_t3_pruned_with_sigma_0_0,79,0.8381807119082569,
RF_5_t3_pruned_with_sigma_0_1,76,0.835293677434396,
RF_5_t3_pruned_with_sigma_0_2,70,0.8275545535276073,
RF_5_t3_pruned_with_sigma_0_3,54,0.8192316887676169,
RF_5_t4,50,0.8357544361286877,
RF_5_t4_pruned_with_sigma_0_0,60,0.8371365754599287,
RF_5_t4_pruned_with_sigma_0_1,51,0.8153006923216504,
RF_5_t4_pruned_with_sigma_0_2,44,0.8221185676275496,
RF_5_t4_pruned_with_sigma_0_3,36,0.8211052144435378,
RF_5_t5,40,0.8363379930745201,
RF_5_t5_pruned_with_sigma_0_0,46,0.8367372606893564,
RF_5_t5_pruned_with_sigma_0_1,43,0.7895642234714091,
RF_5_t5_pruned_with_sigma_0_2,34,0.801971812376004,
RF_5_t5_pruned_with_sigma_0_3,28,0.8139495484555365,
RF_5_t6,33,0.8169282018084413,
RF_5_t6_pruned_with_sigma_0_0,37,0.8348330837851796,
RF_5_t6_pruned_with_sigma_0_1,36,0.784588972687775,
RF_5_t6_pruned_with_sigma_0_2,31,0.76576270064294,
RF_5_t6_pruned_with_sigma_0_3,27,0.8051966846877026,
RF_5_t7,30,0.8214120709629691,
RF_5_t7_pruned_with_sigma_0_0,33,0.8325297241464906,
RF_5_t7_pruned_with_sigma_0_1,33,0.7804120260707087,
RF_5_t7_pruned_with_sigma_0_2,27,0.7275573970184748,
RF_5_t7_pruned_with_sigma_0_3,23,0.8011734327602591,
RF_5_t8,23,0.8215655723140752,
RF_5_t8_pruned_with_sigma_0_0,25,0.8332360510504223,
RF_5_t8_pruned_with_sigma_0_1,25,0.7728570547432823,
RF_5_t8_pruned_with_sigma_0_2,21,0.7196031156360497,
RF_5_t8_pruned_with_sigma_0_3,19,0.7834217361911973,
RF_5_t9,18,0.8180951978107668,
RF_5_t9_pruned_with_sigma_0_0,19,0.8219955996153601,
RF_5_t9_pruned_with_sigma_0_1,22,0.7985627497603546,
RF_5_t9_pruned_with_sigma_0_2,20,0.718374609691975,
