RF,nodes Count,accuracy,
RF_5_t2,165,0.7335991181142132,
RF_5_t2_pruned_with_sigma_0_0,190,0.8155225197161193,
RF_5_t2_pruned_with_sigma_0_1,205,0.737484811677176,
RF_5_t2_pruned_with_sigma_0_2,179,0.6805706951234642,
RF_5_t2_pruned_with_sigma_0_3,122,0.6825853287897388,
RF_5_t3,76,0.7269707918217773,
RF_5_t3_pruned_with_sigma_0_0,96,0.7146606585677409,
RF_5_t3_pruned_with_sigma_0_1,76,0.6488608253139725,
RF_5_t3_pruned_with_sigma_0_2,73,0.5598525450935317,
RF_5_t3_pruned_with_sigma_0_3,42,0.4675048130312118,
RF_5_t4,56,0.7274321159891668,
RF_5_t4_pruned_with_sigma_0_0,66,0.7225278037861304,
RF_5_t4_pruned_with_sigma_0_1,66,0.6512400877818374,
RF_5_t4_pruned_with_sigma_0_2,56,0.5815790980736587,
RF_5_t4_pruned_with_sigma_0_3,32,0.44278427890802236,
RF_5_t5,45,0.7328708832589806,
RF_5_t5_pruned_with_sigma_0_0,47,0.7301269566207205,
RF_5_t5_pruned_with_sigma_0_1,56,0.6980042090646534,
RF_5_t5_pruned_with_sigma_0_2,48,0.6075829686588471,
RF_5_t5_pruned_with_sigma_0_3,26,0.593985502267833,
RF_5_t6,37,0.8095493180113312,
RF_5_t6_pruned_with_sigma_0_0,40,0.8120743854309053,
RF_5_t6_pruned_with_sigma_0_1,48,0.7775234780338941,
RF_5_t6_pruned_with_sigma_0_2,42,0.6696446375306113,
RF_5_t6_pruned_with_sigma_0_3,23,0.6795992024688132,
RF_5_t7,29,0.8373021819045352,
RF_5_t7_pruned_with_sigma_0_0,31,0.8491753777823128,
RF_5_t7_pruned_with_sigma_0_1,42,0.8179507149258687,
RF_5_t7_pruned_with_sigma_0_2,36,0.6173439512844225,
RF_5_t7_pruned_with_sigma_0_3,18,0.678312320284101,
RF_5_t8,24,0.8334903914598719,
RF_5_t8_pruned_with_sigma_0_0,26,0.8386133064577572,
RF_5_t8_pruned_with_sigma_0_1,29,0.7986969071129408,
RF_5_t8_pruned_with_sigma_0_2,29,0.8300669298636298,
RF_5_t8_pruned_with_sigma_0_3,14,0.823146604610919,
RF_5_t9,20,0.8286105367855763,
RF_5_t9_pruned_with_sigma_0_0,22,0.8339031778370343,
