RF,nodes Count,accuracy,
RF_5_t2,98,0.7806010812967363,
RF_5_t2_pruned_with_sigma_0_0,113,0.7562345395948539,
RF_5_t2_pruned_with_sigma_0_1,199,0.752917558137528,
RF_5_t2_pruned_with_sigma_0_2,180,0.7898015651870685,
RF_5_t2_pruned_with_sigma_0_3,171,0.7828848063273726,
RF_5_t3,28,0.6949340484060322,
RF_5_t3_pruned_with_sigma_0_0,31,0.7199005616220673,
RF_5_t3_pruned_with_sigma_0_1,119,0.796884497981949,
RF_5_t3_pruned_with_sigma_0_2,111,0.7945010907001425,
RF_5_t3_pruned_with_sigma_0_3,106,0.7903845625332957,
RF_5_t4,8,0.4838171075368763,
RF_5_t4_pruned_with_sigma_0_0,11,0.536766974014761,
RF_5_t4_pruned_with_sigma_0_1,76,0.7766179477058073,
RF_5_t4_pruned_with_sigma_0_2,72,0.7654011107264398,
RF_5_t4_pruned_with_sigma_0_3,71,0.7586181907228214,
RF_5_t5,3,0.26610023384989673,
RF_5_t5_pruned_with_sigma_0_0,4,0.2974834544359344,
RF_5_t5_pruned_with_sigma_0_1,46,0.736767793279503,
RF_5_t5_pruned_with_sigma_0_2,42,0.7263012174754051,
RF_5_t5_pruned_with_sigma_0_3,41,0.7140847622716839,
RF_5_t6,2,0.18463315556435037,
RF_5_t6_pruned_with_sigma_0_0,3,0.21866663593944585,
RF_5_t6_pruned_with_sigma_0_1,24,0.6920006398921744,
RF_5_t6_pruned_with_sigma_0_2,23,0.6695175313042157,
RF_5_t6_pruned_with_sigma_0_3,22,0.658767495692343,
RF_5_t7,1,0.09871666434732093,
RF_5_t7_pruned_with_sigma_0_0,1,0.09871666434732093,
RF_5_t7_pruned_with_sigma_0_1,10,0.5390674367026446,
RF_5_t7_pruned_with_sigma_0_2,10,0.5231672144759848,
RF_5_t7_pruned_with_sigma_0_3,9,0.47571706368128347,
RF_5_t8,1,0.09871666434732093,
RF_5_t8_pruned_with_sigma_0_0,1,0.09871666434732093,
RF_5_t8_pruned_with_sigma_0_1,6,0.39393235059415527,
RF_5_t8_pruned_with_sigma_0_2,5,0.38524987348722844,
RF_5_t8_pruned_with_sigma_0_3,5,0.3822834913637872,
RF_5_t9,1,0.09871666434732093,
RF_5_t9_pruned_with_sigma_0_0,1,0.09871666434732093,
RF_5_t9_pruned_with_sigma_0_1,3,0.3209670810803111,
RF_5_t9_pruned_with_sigma_0_2,3,0.31801695584281664,
RF_5_t9_pruned_with_sigma_0_3,2,0.19394999513701738,
RF_5_t10,1,0.09871666434732093,
RF_5_t10_pruned_with_sigma_0_0,1,0.09871666434732093,
