RF,nodes Count,accuracy,
RF_5_t2,77,0.9017290899445769,
RF_5_t2_pruned_with_sigma_0_0,140,0.9008552703866617,
RF_5_t2_pruned_with_sigma_0_1,192,0.8356193710058731,
RF_5_t2_pruned_with_sigma_0_2,183,0.8952011994343094,
RF_5_t2_pruned_with_sigma_0_3,182,0.8812957009637298,
RF_5_t3,24,0.8634440730671941,
RF_5_t3_pruned_with_sigma_0_0,52,0.9180346385097335,
RF_5_t3_pruned_with_sigma_0_1,67,0.9108614258759757,
RF_5_t3_pruned_with_sigma_0_2,68,0.9032576834329908,
RF_5_t3_pruned_with_sigma_0_3,59,0.8817290663150594,
RF_5_t4,14,0.8580189721396174,
RF_5_t4_pruned_with_sigma_0_0,26,0.8006517020932208,
RF_5_t4_pruned_with_sigma_0_1,48,0.8895424025784531,
RF_5_t4_pruned_with_sigma_0_2,46,0.8871636190496444,
RF_5_t4_pruned_with_sigma_0_3,39,0.8639029582974459,
RF_5_t5,6,0.8754424331786781,
RF_5_t5_pruned_with_sigma_0_0,21,0.8052237774383004,
RF_5_t5_pruned_with_sigma_0_1,37,0.8901924506054473,
RF_5_t5_pruned_with_sigma_0_2,34,0.9004313568423402,
RF_5_t5_pruned_with_sigma_0_3,30,0.890003650760457,
RF_5_t6,4,0.8313377024311229,
RF_5_t6_pruned_with_sigma_0_0,17,0.8000163043670894,
RF_5_t6_pruned_with_sigma_0_1,27,0.8604176044631432,
RF_5_t6_pruned_with_sigma_0_2,24,0.89261045913334,
RF_5_t6_pruned_with_sigma_0_3,23,0.8841262808675341,
RF_5_t7,2,0.7913300937264813,
RF_5_t7_pruned_with_sigma_0_0,10,0.8599818761600616,
RF_5_t7_pruned_with_sigma_0_1,26,0.852158142908959,
RF_5_t7_pruned_with_sigma_0_2,24,0.89261045913334,
RF_5_t7_pruned_with_sigma_0_3,20,0.8839214129506295,
RF_5_t8,2,0.7913300937264813,
RF_5_t8_pruned_with_sigma_0_0,9,0.8652054173031868,
RF_5_t8_pruned_with_sigma_0_1,22,0.8414863439110867,
RF_5_t8_pruned_with_sigma_0_2,20,0.8919589933352945,
RF_5_t8_pruned_with_sigma_0_3,19,0.8804450383329847,
RF_5_t9,1,0.6059553473007412,
RF_5_t9_pruned_with_sigma_0_0,6,0.7084587765344714,
RF_5_t9_pruned_with_sigma_0_1,20,0.8010543490717735,
RF_5_t9_pruned_with_sigma_0_2,20,0.8919589933352945,
RF_5_t9_pruned_with_sigma_0_3,18,0.891533662019922,
RF_5_t10,1,0.6059553473007412,
RF_5_t10_pruned_with_sigma_0_0,4,0.8443481147780185,
RF_5_t10_pruned_with_sigma_0_1,17,0.7815146284435591,
RF_5_t10_pruned_with_sigma_0_2,16,0.873268517566774,
RF_5_t10_pruned_with_sigma_0_3,16,0.8680539556403067,
RF_5_t11,1,0.6059553473007412,
RF_5_t11_pruned_with_sigma_0_0,2,0.5596077027501214,
RF_5_t11_pruned_with_sigma_0_1,14,0.7695677806802702,
RF_5_t11_pruned_with_sigma_0_2,13,0.8567770046987295,
RF_5_t11_pruned_with_sigma_0_3,14,0.8632751220169211,
RF_5_t12,1,0.6059553473007412,
RF_5_t12_pruned_with_sigma_0_0,2,0.5596077027501214,
RF_5_t12_pruned_with_sigma_0_1,12,0.7297588962179776,
RF_5_t12_pruned_with_sigma_0_2,12,0.8426345021674175,
RF_5_t12_pruned_with_sigma_0_3,14,0.8632751220169211,
RF_5_t13,1,0.6059553473007412,
RF_5_t13_pruned_with_sigma_0_0,1,0.6059553473007412,
RF_5_t13_pruned_with_sigma_0_1,11,0.7297588962179776,
RF_5_t13_pruned_with_sigma_0_2,11,0.8374171046988476,
RF_5_t13_pruned_with_sigma_0_3,13,0.8291760741683296,
RF_5_t14,1,0.6059553473007412,
RF_5_t14_pruned_with_sigma_0_0,1,0.6059553473007412,
RF_5_t14_pruned_with_sigma_0_1,9,0.8423502390716434,
RF_5_t14_pruned_with_sigma_0_2,11,0.8374171046988476,
RF_5_t14_pruned_with_sigma_0_3,11,0.8248239896313676,
RF_5_t15,1,0.6059553473007412,
RF_5_t15_pruned_with_sigma_0_0,1,0.6059553473007412,
RF_5_t15_pruned_with_sigma_0_1,8,0.893473409113196,
RF_5_t15_pruned_with_sigma_0_2,8,0.8411342641000283,
RF_5_t15_pruned_with_sigma_0_3,8,0.821788541810659,
RF_5_t16,1,0.6059553473007412,
RF_5_t16_pruned_with_sigma_0_0,1,0.6059553473007412,
RF_5_t16_pruned_with_sigma_0_1,7,0.8399591681937242,
RF_5_t16_pruned_with_sigma_0_2,7,0.7891429455847656,
RF_5_t16_pruned_with_sigma_0_3,7,0.7791632551550747,
RF_5_t17,1,0.6059553473007412,
RF_5_t17_pruned_with_sigma_0_0,1,0.6059553473007412,
RF_5_t17_pruned_with_sigma_0_1,7,0.8399591681937242,
RF_5_t17_pruned_with_sigma_0_2,7,0.7891429455847656,
RF_5_t17_pruned_with_sigma_0_3,7,0.7791632551550747,
RF_5_t18,1,0.6059553473007412,
RF_5_t18_pruned_with_sigma_0_0,1,0.6059553473007412,
RF_5_t18_pruned_with_sigma_0_1,4,0.8632826834625277,
RF_5_t18_pruned_with_sigma_0_2,6,0.8773987209342167,
RF_5_t18_pruned_with_sigma_0_3,6,0.8698034851175391,
RF_5_t19,1,0.6059553473007412,
RF_5_t19_pruned_with_sigma_0_0,1,0.6059553473007412,
RF_5_t19_pruned_with_sigma_0_1,4,0.8632826834625277,
RF_5_t19_pruned_with_sigma_0_2,6,0.8773987209342167,
RF_5_t19_pruned_with_sigma_0_3,6,0.8698034851175391,
RF_5_t20,1,0.6059553473007412,
RF_5_t20_pruned_with_sigma_0_0,1,0.6059553473007412,
RF_5_t20_pruned_with_sigma_0_1,4,0.8632826834625277,
RF_5_t20_pruned_with_sigma_0_2,5,0.8254433192855852,
RF_5_t20_pruned_with_sigma_0_3,5,0.8593748338549551,
RF_5_t21,1,0.6059553473007412,
RF_5_t21_pruned_with_sigma_0_0,1,0.6059553473007412,
RF_5_t21_pruned_with_sigma_0_1,3,0.851331582386085,
RF_5_t21_pruned_with_sigma_0_2,4,0.8365508465865391,
RF_5_t21_pruned_with_sigma_0_3,3,0.797216442836062,
RF_5_t22,1,0.6059553473007412,
RF_5_t22_pruned_with_sigma_0_0,1,0.6059553473007412,
RF_5_t22_pruned_with_sigma_0_1,2,0.791132314664833,
RF_5_t22_pruned_with_sigma_0_2,2,0.7587501875592954,
RF_5_t22_pruned_with_sigma_0_3,1,0.6059553473007412,
RF_5_t23,1,0.6059553473007412,
RF_5_t23_pruned_with_sigma_0_0,1,0.6059553473007412,
RF_5_t23_pruned_with_sigma_0_1,1,0.6059553473007412,
RF_5_t23_pruned_with_sigma_0_2,1,0.6059553473007412,
RF_5_t23_pruned_with_sigma_0_3,1,0.6059553473007412,
RF_5_t24,1,0.6059553473007412,
RF_5_t24_pruned_with_sigma_0_0,1,0.6059553473007412,
RF_5_t24_pruned_with_sigma_0_1,1,0.6059553473007412,
RF_5_t24_pruned_with_sigma_0_2,1,0.6059553473007412,
RF_5_t24_pruned_with_sigma_0_3,1,0.6059553473007412,
RF_5_t25,1,0.6059553473007412,
RF_5_t25_pruned_with_sigma_0_0,1,0.6059553473007412,
RF_5_t25_pruned_with_sigma_0_1,1,0.6059553473007412,
RF_5_t25_pruned_with_sigma_0_2,1,0.6059553473007412,
RF_5_t25_pruned_with_sigma_0_3,1,0.6059553473007412,
RF_10_t2,522,0.9195622868174466,
RF_10_t2_pruned_with_sigma_0_0,587,0.9236967434980429,
RF_10_t2_pruned_with_sigma_0_1,640,0.8950005848305587,
RF_10_t2_pruned_with_sigma_0_2,853,0.8591600415406917,
RF_10_t2_pruned_with_sigma_0_3,1069,0.8226519643808654,
RF_10_t3,186,0.9213000015359185,
