RF,nodes Count,
RF_5_t2,98,
RF_5_pruned_with_sigma_0_0_t2,113,
RF_5_pruned_with_sigma_0_1_t2,199,
RF_5_pruned_with_sigma_0_2_t2,180,
RF_5_pruned_with_sigma_0_3_t2,171,
RF_5_t3,28,
RF_5_pruned_with_sigma_0_0_t3,31,
RF_5_pruned_with_sigma_0_1_t3,119,
RF_5_pruned_with_sigma_0_2_t3,111,
RF_5_pruned_with_sigma_0_3_t3,106,
RF_5_t4,8,
RF_5_pruned_with_sigma_0_0_t4,11,
RF_5_pruned_with_sigma_0_1_t4,76,
RF_5_pruned_with_sigma_0_2_t4,72,
RF_5_pruned_with_sigma_0_3_t4,71,
RF_5_t5,3,
RF_5_pruned_with_sigma_0_0_t5,4,
RF_5_pruned_with_sigma_0_1_t5,46,
RF_5_pruned_with_sigma_0_2_t5,42,
RF_5_pruned_with_sigma_0_3_t5,41,
RF_5_t6,2,
RF_5_pruned_with_sigma_0_0_t6,3,
RF_5_pruned_with_sigma_0_1_t6,24,
RF_5_pruned_with_sigma_0_2_t6,23,
RF_5_pruned_with_sigma_0_3_t6,22,
RF_5_t7,1,
RF_5_pruned_with_sigma_0_0_t7,1,
RF_5_pruned_with_sigma_0_1_t7,10,
RF_5_pruned_with_sigma_0_2_t7,10,
RF_5_pruned_with_sigma_0_3_t7,9,
RF_5_t8,1,
RF_5_pruned_with_sigma_0_0_t8,1,
RF_5_pruned_with_sigma_0_1_t8,6,
RF_5_pruned_with_sigma_0_2_t8,5,
RF_5_pruned_with_sigma_0_3_t8,5,
RF_5_t9,1,
RF_5_pruned_with_sigma_0_0_t9,1,
RF_5_pruned_with_sigma_0_1_t9,3,
RF_5_pruned_with_sigma_0_2_t9,3,
RF_5_pruned_with_sigma_0_3_t9,2,
RF_5_t10,1,
RF_5_pruned_with_sigma_0_0_t10,1,
RF_5_pruned_with_sigma_0_1_t10,2,
RF_5_pruned_with_sigma_0_2_t10,2,
RF_5_pruned_with_sigma_0_3_t10,2,
RF_5_t11,1,
RF_5_pruned_with_sigma_0_0_t11,1,
RF_5_pruned_with_sigma_0_1_t11,1,
RF_5_pruned_with_sigma_0_2_t11,1,
RF_5_pruned_with_sigma_0_3_t11,1,
RF_5_t12,1,
RF_5_pruned_with_sigma_0_0_t12,1,
RF_5_pruned_with_sigma_0_1_t12,1,
RF_5_pruned_with_sigma_0_2_t12,1,
RF_5_pruned_with_sigma_0_3_t12,1,
RF_5_t13,1,
RF_5_pruned_with_sigma_0_0_t13,1,
RF_5_pruned_with_sigma_0_1_t13,1,
RF_5_pruned_with_sigma_0_2_t13,1,
RF_5_pruned_with_sigma_0_3_t13,1,
RF_5_t14,1,
RF_5_pruned_with_sigma_0_0_t14,1,
RF_5_pruned_with_sigma_0_1_t14,1,
RF_5_pruned_with_sigma_0_2_t14,1,
RF_5_pruned_with_sigma_0_3_t14,1,
RF_5_t15,1,
RF_5_pruned_with_sigma_0_0_t15,1,
RF_5_pruned_with_sigma_0_1_t15,1,
RF_5_pruned_with_sigma_0_2_t15,1,
RF_5_pruned_with_sigma_0_3_t15,1,
RF_5_t16,1,
RF_5_pruned_with_sigma_0_0_t16,1,
RF_5_pruned_with_sigma_0_1_t16,1,
RF_5_pruned_with_sigma_0_2_t16,1,
RF_5_pruned_with_sigma_0_3_t16,1,
RF_5_t17,1,
RF_5_pruned_with_sigma_0_0_t17,1,
RF_5_pruned_with_sigma_0_1_t17,1,
RF_5_pruned_with_sigma_0_2_t17,1,
RF_5_pruned_with_sigma_0_3_t17,1,
RF_5_t18,1,
RF_5_pruned_with_sigma_0_0_t18,1,
RF_5_pruned_with_sigma_0_1_t18,1,
RF_5_pruned_with_sigma_0_2_t18,1,
RF_5_pruned_with_sigma_0_3_t18,1,
RF_5_t19,1,
RF_5_pruned_with_sigma_0_0_t19,1,
RF_5_pruned_with_sigma_0_1_t19,1,
RF_5_pruned_with_sigma_0_2_t19,1,
RF_5_pruned_with_sigma_0_3_t19,1,
RF_5_t20,1,
RF_5_pruned_with_sigma_0_0_t20,1,
RF_5_pruned_with_sigma_0_1_t20,1,
RF_5_pruned_with_sigma_0_2_t20,1,
RF_5_pruned_with_sigma_0_3_t20,1,
RF_5_t21,1,
RF_5_pruned_with_sigma_0_0_t21,1,
RF_5_pruned_with_sigma_0_1_t21,1,
RF_5_pruned_with_sigma_0_2_t21,1,
RF_5_pruned_with_sigma_0_3_t21,1,
RF_5_t22,1,
RF_5_pruned_with_sigma_0_0_t22,1,
RF_5_pruned_with_sigma_0_1_t22,1,
RF_5_pruned_with_sigma_0_2_t22,1,
RF_5_pruned_with_sigma_0_3_t22,1,
RF_5_t23,1,
RF_5_pruned_with_sigma_0_0_t23,1,
RF_5_pruned_with_sigma_0_1_t23,1,
RF_5_pruned_with_sigma_0_2_t23,1,
RF_5_pruned_with_sigma_0_3_t23,1,
RF_5_t24,1,
RF_5_pruned_with_sigma_0_0_t24,1,
RF_5_pruned_with_sigma_0_1_t24,1,
RF_5_pruned_with_sigma_0_2_t24,1,
RF_5_pruned_with_sigma_0_3_t24,1,
RF_5_t25,1,
RF_5_pruned_with_sigma_0_0_t25,1,
RF_5_pruned_with_sigma_0_1_t25,1,
RF_5_pruned_with_sigma_0_2_t25,1,
RF_5_pruned_with_sigma_0_3_t25,1,
RF_10_t2,2946,
RF_10_pruned_with_sigma_0_0_t2,4752,
RF_10_pruned_with_sigma_0_1_t2,2091,
RF_10_pruned_with_sigma_0_2_t2,2225,
RF_10_pruned_with_sigma_0_3_t2,2287,
RF_10_t3,837,
RF_10_pruned_with_sigma_0_0_t3,2589,
RF_10_pruned_with_sigma_0_1_t3,1052,
RF_10_pruned_with_sigma_0_2_t3,753,
RF_10_pruned_with_sigma_0_3_t3,603,
RF_10_t4,332,
RF_10_pruned_with_sigma_0_0_t4,1342,
RF_10_pruned_with_sigma_0_1_t4,911,
RF_10_pruned_with_sigma_0_2_t4,630,
RF_10_pruned_with_sigma_0_3_t4,477,
RF_10_t5,165,
RF_10_pruned_with_sigma_0_0_t5,730,
RF_10_pruned_with_sigma_0_1_t5,800,
RF_10_pruned_with_sigma_0_2_t5,577,
RF_10_pruned_with_sigma_0_3_t5,443,
RF_10_t6,76,
RF_10_pruned_with_sigma_0_0_t6,504,
RF_10_pruned_with_sigma_0_1_t6,717,
RF_10_pruned_with_sigma_0_2_t6,532,
RF_10_pruned_with_sigma_0_3_t6,422,
RF_10_t7,30,
RF_10_pruned_with_sigma_0_0_t7,382,
RF_10_pruned_with_sigma_0_1_t7,646,
RF_10_pruned_with_sigma_0_2_t7,491,
RF_10_pruned_with_sigma_0_3_t7,414,
RF_10_t8,16,
RF_10_pruned_with_sigma_0_0_t8,319,
