RF,nodes Count,
RF_5_t2,143,
RF_5_pruned_with_sigma_0_0_t2,177,
RF_5_pruned_with_sigma_0_1_t2,177,
RF_5_pruned_with_sigma_0_2_t2,174,
RF_5_pruned_with_sigma_0_3_t2,179,
RF_5_t3,47,
RF_5_pruned_with_sigma_0_0_t3,55,
RF_5_pruned_with_sigma_0_1_t3,108,
RF_5_pruned_with_sigma_0_2_t3,93,
RF_5_pruned_with_sigma_0_3_t3,80,
RF_5_t4,9,
RF_5_pruned_with_sigma_0_0_t4,14,
RF_5_pruned_with_sigma_0_1_t4,77,
RF_5_pruned_with_sigma_0_2_t4,70,
RF_5_pruned_with_sigma_0_3_t4,65,
RF_5_t5,5,
RF_5_pruned_with_sigma_0_0_t5,6,
RF_5_pruned_with_sigma_0_1_t5,53,
RF_5_pruned_with_sigma_0_2_t5,59,
RF_5_pruned_with_sigma_0_3_t5,52,
RF_5_t6,4,
RF_5_pruned_with_sigma_0_0_t6,4,
RF_5_pruned_with_sigma_0_1_t6,35,
RF_5_pruned_with_sigma_0_2_t6,50,
RF_5_pruned_with_sigma_0_3_t6,49,
RF_5_t7,2,
RF_5_pruned_with_sigma_0_0_t7,3,
RF_5_pruned_with_sigma_0_1_t7,26,
RF_5_pruned_with_sigma_0_2_t7,38,
RF_5_pruned_with_sigma_0_3_t7,42,
RF_5_t8,2,
RF_5_pruned_with_sigma_0_0_t8,2,
RF_5_pruned_with_sigma_0_1_t8,16,
RF_5_pruned_with_sigma_0_2_t8,29,
RF_5_pruned_with_sigma_0_3_t8,32,
RF_5_t9,2,
RF_5_pruned_with_sigma_0_0_t9,2,
RF_5_pruned_with_sigma_0_1_t9,14,
RF_5_pruned_with_sigma_0_2_t9,24,
RF_5_pruned_with_sigma_0_3_t9,26,
RF_5_t10,2,
RF_5_pruned_with_sigma_0_0_t10,2,
RF_5_pruned_with_sigma_0_1_t10,7,
RF_5_pruned_with_sigma_0_2_t10,18,
RF_5_pruned_with_sigma_0_3_t10,22,
RF_5_t11,1,
RF_5_pruned_with_sigma_0_0_t11,1,
RF_5_pruned_with_sigma_0_1_t11,5,
RF_5_pruned_with_sigma_0_2_t11,14,
RF_5_pruned_with_sigma_0_3_t11,16,
RF_5_t12,1,
RF_5_pruned_with_sigma_0_0_t12,1,
RF_5_pruned_with_sigma_0_1_t12,3,
RF_5_pruned_with_sigma_0_2_t12,9,
RF_5_pruned_with_sigma_0_3_t12,12,
RF_5_t13,1,
RF_5_pruned_with_sigma_0_0_t13,1,
RF_5_pruned_with_sigma_0_1_t13,3,
RF_5_pruned_with_sigma_0_2_t13,5,
RF_5_pruned_with_sigma_0_3_t13,9,
RF_5_t14,1,
RF_5_pruned_with_sigma_0_0_t14,1,
RF_5_pruned_with_sigma_0_1_t14,2,
RF_5_pruned_with_sigma_0_2_t14,4,
RF_5_pruned_with_sigma_0_3_t14,7,
RF_5_t15,1,
RF_5_pruned_with_sigma_0_0_t15,1,
RF_5_pruned_with_sigma_0_1_t15,2,
RF_5_pruned_with_sigma_0_2_t15,3,
RF_5_pruned_with_sigma_0_3_t15,5,
RF_5_t16,1,
RF_5_pruned_with_sigma_0_0_t16,1,
RF_5_pruned_with_sigma_0_1_t16,2,
RF_5_pruned_with_sigma_0_2_t16,3,
RF_5_pruned_with_sigma_0_3_t16,3,
RF_5_t17,1,
RF_5_pruned_with_sigma_0_0_t17,1,
RF_5_pruned_with_sigma_0_1_t17,1,
