RF,nodes Count,
RF_5_t2,77,
RF_5_pruned_with_sigma_0_0_t2,140,
RF_5_pruned_with_sigma_0_1_t2,192,
RF_5_pruned_with_sigma_0_2_t2,183,
RF_5_pruned_with_sigma_0_3_t2,182,
RF_5_t3,24,
RF_5_pruned_with_sigma_0_0_t3,52,
RF_5_pruned_with_sigma_0_1_t3,67,
RF_5_pruned_with_sigma_0_2_t3,68,
RF_5_pruned_with_sigma_0_3_t3,59,
RF_5_t4,14,
RF_5_pruned_with_sigma_0_0_t4,26,
RF_5_pruned_with_sigma_0_1_t4,48,
RF_5_pruned_with_sigma_0_2_t4,46,
RF_5_pruned_with_sigma_0_3_t4,39,
RF_5_t5,6,
RF_5_pruned_with_sigma_0_0_t5,21,
RF_5_pruned_with_sigma_0_1_t5,37,
RF_5_pruned_with_sigma_0_2_t5,34,
RF_5_pruned_with_sigma_0_3_t5,30,
RF_5_t6,4,
RF_5_pruned_with_sigma_0_0_t6,17,
RF_5_pruned_with_sigma_0_1_t6,27,
RF_5_pruned_with_sigma_0_2_t6,24,
RF_5_pruned_with_sigma_0_3_t6,23,
RF_5_t7,2,
RF_5_pruned_with_sigma_0_0_t7,10,
RF_5_pruned_with_sigma_0_1_t7,26,
RF_5_pruned_with_sigma_0_2_t7,24,
RF_5_pruned_with_sigma_0_3_t7,20,
RF_5_t8,2,
RF_5_pruned_with_sigma_0_0_t8,9,
RF_5_pruned_with_sigma_0_1_t8,22,
RF_5_pruned_with_sigma_0_2_t8,20,
RF_5_pruned_with_sigma_0_3_t8,19,
RF_5_t9,1,
RF_5_pruned_with_sigma_0_0_t9,6,
RF_5_pruned_with_sigma_0_1_t9,20,
RF_5_pruned_with_sigma_0_2_t9,20,
RF_5_pruned_with_sigma_0_3_t9,18,
RF_5_t10,1,
RF_5_pruned_with_sigma_0_0_t10,4,
RF_5_pruned_with_sigma_0_1_t10,17,
RF_5_pruned_with_sigma_0_2_t10,16,
RF_5_pruned_with_sigma_0_3_t10,16,
RF_5_t11,1,
RF_5_pruned_with_sigma_0_0_t11,2,
RF_5_pruned_with_sigma_0_1_t11,14,
RF_5_pruned_with_sigma_0_2_t11,13,
RF_5_pruned_with_sigma_0_3_t11,14,
RF_5_t12,1,
RF_5_pruned_with_sigma_0_0_t12,2,
RF_5_pruned_with_sigma_0_1_t12,12,
RF_5_pruned_with_sigma_0_2_t12,12,
RF_5_pruned_with_sigma_0_3_t12,14,
RF_5_t13,1,
RF_5_pruned_with_sigma_0_0_t13,1,
RF_5_pruned_with_sigma_0_1_t13,11,
RF_5_pruned_with_sigma_0_2_t13,11,
RF_5_pruned_with_sigma_0_3_t13,13,
RF_5_t14,1,
RF_5_pruned_with_sigma_0_0_t14,1,
RF_5_pruned_with_sigma_0_1_t14,9,
RF_5_pruned_with_sigma_0_2_t14,11,
RF_5_pruned_with_sigma_0_3_t14,11,
RF_5_t15,1,
RF_5_pruned_with_sigma_0_0_t15,1,
RF_5_pruned_with_sigma_0_1_t15,8,
RF_5_pruned_with_sigma_0_2_t15,8,
RF_5_pruned_with_sigma_0_3_t15,8,
RF_5_t16,1,
RF_5_pruned_with_sigma_0_0_t16,1,
RF_5_pruned_with_sigma_0_1_t16,7,
RF_5_pruned_with_sigma_0_2_t16,7,
RF_5_pruned_with_sigma_0_3_t16,7,
RF_5_t17,1,
RF_5_pruned_with_sigma_0_0_t17,1,
RF_5_pruned_with_sigma_0_1_t17,7,
RF_5_pruned_with_sigma_0_2_t17,7,
RF_5_pruned_with_sigma_0_3_t17,7,
RF_5_t18,1,
RF_5_pruned_with_sigma_0_0_t18,1,
RF_5_pruned_with_sigma_0_1_t18,4,
RF_5_pruned_with_sigma_0_2_t18,6,
RF_5_pruned_with_sigma_0_3_t18,6,
RF_5_t19,1,
RF_5_pruned_with_sigma_0_0_t19,1,
RF_5_pruned_with_sigma_0_1_t19,4,
RF_5_pruned_with_sigma_0_2_t19,6,
RF_5_pruned_with_sigma_0_3_t19,6,
RF_5_t20,1,
RF_5_pruned_with_sigma_0_0_t20,1,
RF_5_pruned_with_sigma_0_1_t20,4,
RF_5_pruned_with_sigma_0_2_t20,5,
RF_5_pruned_with_sigma_0_3_t20,5,
RF_5_t21,1,
RF_5_pruned_with_sigma_0_0_t21,1,
RF_5_pruned_with_sigma_0_1_t21,3,
RF_5_pruned_with_sigma_0_2_t21,4,
RF_5_pruned_with_sigma_0_3_t21,3,
RF_5_t22,1,
RF_5_pruned_with_sigma_0_0_t22,1,
RF_5_pruned_with_sigma_0_1_t22,2,
RF_5_pruned_with_sigma_0_2_t22,2,
RF_5_pruned_with_sigma_0_3_t22,1,
RF_5_t23,1,
RF_5_pruned_with_sigma_0_0_t23,1,
RF_5_pruned_with_sigma_0_1_t23,1,
RF_5_pruned_with_sigma_0_2_t23,1,
RF_5_pruned_with_sigma_0_3_t23,1,
RF_5_t24,1,
RF_5_pruned_with_sigma_0_0_t24,1,
RF_5_pruned_with_sigma_0_1_t24,1,
RF_5_pruned_with_sigma_0_2_t24,1,
RF_5_pruned_with_sigma_0_3_t24,1,
RF_5_t25,1,
RF_5_pruned_with_sigma_0_0_t25,1,
RF_5_pruned_with_sigma_0_1_t25,1,
RF_5_pruned_with_sigma_0_2_t25,1,
RF_5_pruned_with_sigma_0_3_t25,1,
RF_10_t2,522,
RF_10_pruned_with_sigma_0_0_t2,587,
RF_10_pruned_with_sigma_0_1_t2,640,
RF_10_pruned_with_sigma_0_2_t2,853,
RF_10_pruned_with_sigma_0_3_t2,1069,
RF_10_t3,186,
RF_10_pruned_with_sigma_0_0_t3,336,
RF_10_pruned_with_sigma_0_1_t3,259,
RF_10_pruned_with_sigma_0_2_t3,274,
RF_10_pruned_with_sigma_0_3_t3,312,
RF_10_t4,76,
RF_10_pruned_with_sigma_0_0_t4,215,
RF_10_pruned_with_sigma_0_1_t4,172,
RF_10_pruned_with_sigma_0_2_t4,137,
RF_10_pruned_with_sigma_0_3_t4,139,
RF_10_t5,44,
RF_10_pruned_with_sigma_0_0_t5,145,
RF_10_pruned_with_sigma_0_1_t5,133,
